date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-09-15,-4.247667,-4.172618,-4.350223,-4.303217,-4.283008,-4.284868,-4.331575,-4.304098
2022-09-16,-4.144522,-4.247667,-4.314126,-4.340884,-4.286839,-4.261793,-4.283732,-4.290846
2022-09-19,-4.327144,-4.144522,-4.262336,-4.259456,-4.230257,-4.177801,-4.223347,-4.217383
2022-09-20,-4.237705,-4.327144,-4.301154,-4.332801,-4.302430,-4.275142,-4.290278,-4.302262
2022-09-21,-3.461983,-4.237705,-4.290630,-4.275274,-4.271739,-4.246379,-4.288743,-4.276161
2022-09-22,-4.072427,-3.461983,-3.873418,-3.873748,-3.885487,-3.933532,-3.925297,-3.848529
2022-09-23,-4.212847,-4.072427,-4.077649,-4.129638,-4.084527,-4.026367,-3.973507,-4.046752
2022-09-26,-3.966776,-4.212847,-4.198366,-4.195097,-4.178647,-4.115106,-4.135448,-4.250543
2022-09-27,-3.957361,-3.966776,-4.016521,-4.056730,-4.079258,-4.068262,-4.095240,-4.007885
2022-09-28,-3.989655,-3.957361,-4.063651,-4.028730,-4.054026,-4.031908,-4.046940,-4.037897
2022-09-29,-4.016129,-3.989655,-4.085661,-4.077624,-4.058400,-4.023803,-4.041711,-4.050428
2022-09-30,-3.896300,-4.016129,-4.069695,-4.084466,-4.068095,-4.040503,-4.064078,-4.021701
2022-10-03,-4.364585,-3.896300,-4.012846,-4.008639,-4.009333,-3.994221,-4.001028,-3.980407
2022-10-04,-4.294807,-4.364585,-4.239536,-4.242967,-4.222527,-4.225545,-4.262705,-4.205382
2022-10-05,-4.079518,-4.294807,-4.278560,-4.235111,-4.237774,-4.263721,-4.308361,-4.255698
2022-10-06,-4.218425,-4.079518,-4.163769,-4.144687,-4.146749,-4.176898,-4.207763,-4.116018
2022-10-07,-4.393746,-4.218425,-4.261486,-4.220003,-4.197189,-4.199332,-4.234857,-4.212047
2022-10-10,-4.000926,-4.393746,-4.353663,-4.330307,-4.293202,-4.314851,-4.349762,-4.318076
2022-10-11,-4.198480,-4.000926,-4.157831,-4.131510,-4.127385,-4.141549,-4.170796,-4.101510
2022-10-12,-4.289507,-4.198480,-4.222909,-4.209690,-4.188988,-4.182359,-4.215533,-4.175353
2022-10-13,-3.676253,-4.289507,-4.306604,-4.262659,-4.242441,-4.235311,-4.277637,-4.287313
2022-10-14,-3.927494,-3.676253,-3.961782,-3.950266,-3.956542,-3.984736,-3.961451,-3.935941
2022-10-17,-4.318500,-3.927494,-4.021901,-4.029077,-4.010379,-3.982263,-3.972647,-3.994910
2022-10-18,-3.650712,-4.318500,-4.245452,-4.223242,-4.199338,-4.174675,-4.217441,-4.250722
2022-10-19,-4.241674,-3.650712,-3.894088,-3.888981,-3.915739,-3.954784,-3.927428,-3.899376
2022-10-20,-4.115814,-4.241674,-4.142696,-4.145527,-4.141769,-4.139361,-4.163600,-4.119175
2022-10-21,-4.135252,-4.115814,-4.195944,-4.118523,-4.123425,-4.108839,-4.156669,-4.222414
2022-10-24,-4.017945,-4.135252,-4.122165,-4.145356,-4.135534,-4.152829,-4.188377,-4.086491
2022-10-25,-4.412906,-4.017945,-4.141281,-4.073695,-4.082714,-4.081747,-4.111601,-4.110820
2022-10-26,-4.056829,-4.412906,-4.308231,-4.298746,-4.264277,-4.290483,-4.324818,-4.277481
2022-10-27,-3.952778,-4.056829,-4.186425,-4.130992,-4.133299,-4.157829,-4.214553,-4.164914
2022-10-28,-3.842590,-3.952778,-4.079798,-4.074459,-4.059201,-4.073618,-4.097912,-4.054622
2022-10-31,-4.162920,-3.842590,-4.041113,-4.005870,-3.982929,-3.979286,-3.982267,-4.022795
2022-11-01,-4.208343,-4.162920,-4.130139,-4.156604,-4.114595,-4.083584,-4.100616,-4.074401
2022-11-02,-3.547530,-4.208343,-4.186349,-4.165076,-4.162703,-4.156621,-4.205258,-4.148680
2022-11-03,-3.816276,-3.547530,-3.861293,-3.836016,-3.855305,-3.951811,-3.929582,-3.923564
2022-11-04,-3.409421,-3.816276,-3.933716,-3.941299,-3.913042,-3.928261,-3.872700,-3.945667
2022-11-07,-4.088830,-3.409421,-3.741586,-3.728394,-3.711061,-3.836830,-3.691638,-3.878208
2022-11-08,-4.017981,-4.088830,-3.941829,-4.021569,-3.987669,-3.989541,-3.934261,-3.951702
2022-11-09,-4.218440,-4.017981,-4.034187,-3.975428,-4.007300,-4.019482,-4.053614,-4.050976
2022-11-10,-3.943380,-4.218440,-4.105814,-4.109611,-4.119100,-4.156187,-4.188443,-4.077374
2022-11-11,-4.118305,-3.943380,-4.089821,-3.994975,-4.016889,-4.061984,-4.103308,-4.102192
2022-11-14,-4.322634,-4.118305,-4.133898,-4.117443,-4.085310,-4.103256,-4.128522,-4.078214
2022-11-15,-3.899690,-4.322634,-4.279251,-4.227290,-4.200735,-4.220497,-4.257915,-4.235485
2022-11-16,-4.278353,-3.899690,-4.070623,-4.033458,-4.026551,-4.078918,-4.120996,-4.053796
2022-11-17,-4.263254,-4.278353,-4.227504,-4.203377,-4.176786,-4.188631,-4.204371,-4.171909
2022-11-18,-4.176494,-4.263254,-4.287917,-4.222067,-4.201416,-4.218892,-4.269902,-4.248191
2022-11-21,-4.535163,-4.176494,-4.204064,-4.187728,-4.172204,-4.212796,-4.252512,-4.166223
2022-11-22,-4.623396,-4.535163,-4.423062,-4.362205,-4.345478,-4.402453,-4.402971,-4.366285
2022-11-23,-4.435892,-4.623396,-4.521040,-4.452477,-4.433942,-4.546596,-4.537285,-4.490803
2022-11-25,-4.919368,-4.435892,-4.448757,-4.383050,-4.376612,-4.506835,-4.500811,-4.428548
2022-11-28,-4.578270,-4.919368,-4.717223,-4.642707,-4.610813,-4.749868,-4.679626,-4.663444
2022-11-29,-4.045314,-4.578270,-4.626789,-4.522854,-4.506241,-4.662527,-4.632077,-4.631824
2022-11-30,-3.882545,-4.045314,-4.301480,-4.254810,-4.236324,-4.346478,-4.326008,-4.264980
2022-12-01,-4.292940,-3.882545,-4.175475,-4.133691,-4.090957,-4.077932,-4.051749,-4.136267
