date,MKT,TB,TS,DEF,INF,VIX,DXY_RET
2020-05-07,0.011500265708948906,0.11,0.52,1.4500000000000002,0.7,3.448080984547571,-0.001998171201515686
2020-05-08,0.01686677673394004,0.12,0.57,1.5199999999999996,0.74,3.3314899528769466,-0.0016017222313791102
2020-05-11,0.00012831631614978176,0.12,0.61,1.4499999999999997,0.75,3.3167282139665804,0.005113752027167573
2020-05-12,-0.020505476259035885,0.13,0.5599999999999999,1.4299999999999997,0.72,3.4977189763624423,-0.003092553523545094
2020-05-13,-0.017467883334386772,0.13,0.51,1.5300000000000002,0.71,3.5633161965381612,0.003102147079426132
2020-05-14,0.011520060790273614,0.12,0.51,1.5300000000000002,0.71,3.4846190085179267,0.002294526754142323
2020-05-15,0.0039216013456763645,0.12,0.52,1.54,0.75,3.4622924618826887,-0.0006967223447170712
2020-05-18,0.03149603290152202,0.13,0.6,1.5500000000000003,0.84,3.377587489984132,-0.007270949659751058
2020-05-19,-0.010489557924651907,0.13,0.57,1.5,0.82,3.4187098292376317,-0.0030098869055337207
2020-05-20,0.016646338354318217,0.12,0.56,1.44,0.83,3.3318472953500904,-0.0025158497845427785
2020-05-21,-0.0077783583124990206,0.12,0.56,1.4099999999999997,0.81,3.3854067190083033,0.0025221952489162813
2020-05-22,0.0023489494217265234,0.12,0.54,1.4299999999999997,0.8,3.3379025258712374,0.00493104407996392
2020-05-25,-4.7619047619047615e-06,0.12,0.54,1.4299999999999997,0.8,3.3379025258712374,0.0
2020-05-26,0.012283628480524592,0.14,0.5499999999999999,1.3399999999999999,0.82,3.33256159744345,-0.00951328802759599
2020-05-27,0.014821344834961423,0.15,0.53,1.3199999999999998,0.82,3.318540178366135,0.0015164684150328345
2020-05-28,-0.002113866927026222,0.15,0.5499999999999999,1.3399999999999999,0.86,3.3530570116713276,-0.006864529799463837
2020-05-29,0.00480678026941587,0.14,0.51,1.2999999999999998,0.83,3.3145495832564333,-0.0004065960219973297
2020-06-01,0.0037456792579822294,0.14,0.52,1.3099999999999996,0.84,3.340385226049894,-0.005186033412932223
2020-06-02,0.008204880399101031,0.15,0.53,1.3099999999999996,0.84,3.289893317788574,-0.0016355275387369694
2020-06-03,0.013642629927481801,0.16,0.61,1.2600000000000002,0.88,3.244933353240963,-0.0039930316060192705
2020-06-04,-0.0033746546120667874,0.15,0.6699999999999999,1.2200000000000002,0.88,3.2507619930386347,-0.006167747549856939
2020-06-05,0.026205698437446332,0.15,0.76,1.23,0.95,3.199489129737002,0.0026893063240562842
2020-06-08,0.012034833389423204,0.17,0.71,1.21,0.98,3.2507619930386347,-0.0033010077033744922
2020-06-09,-0.007806710505151295,0.19,0.6499999999999999,1.17,0.98,3.3167282139665804,-0.0031049787127895856
2020-06-10,-0.005319837104183413,0.17,0.58,1.1399999999999997,1.0,3.3167282139665804,-0.0037375478767874837
2020-06-11,-0.058950805306184274,0.17,0.49,1.17,0.95,3.708436975774364,0.008024221340218185
2020-06-12,0.013054494756885497,0.16,0.5499999999999999,1.2000000000000002,0.95,3.58601582288268,0.0060994140123571405
2020-06-15,0.008305074184142407,0.18,0.53,1.1300000000000003,0.98,3.5380566087362966,-0.0065762370700303
2020-06-16,0.01895565216205649,0.17,0.58,1.27,1.02,3.5166071787906032,0.0028961396194977507
2020-06-17,-0.0036070455879200565,0.17,0.57,1.1799999999999997,1.01,3.510649551694795,0.002062753501704151
2020-06-18,0.0005878706761789622,0.16,0.5499999999999999,1.1999999999999997,1.12,3.494687683058813,0.0026759417150714615
2020-06-19,-0.005655447190415355,0.15,0.5499999999999999,1.1399999999999997,1.06,3.5587707383536116,0.0020530135639078573
2020-06-22,0.006488746331342469,0.16,0.5499999999999999,1.17,1.11,3.4585224626901017,-0.005941424039500931
2020-06-23,0.004301070362814933,0.16,0.5599999999999999,1.1599999999999997,1.14,3.4458520489553246,-0.003606744340674206
2020-06-24,-0.025861098320016953,0.15,0.5399999999999999,1.1800000000000002,1.1,3.521643539247121,0.004757462745452079
2020-06-25,0.010953098061460635,0.16,0.52,1.2000000000000002,1.11,3.4725874156353305,0.002882128408637108
2020-06-26,-0.02423246060034153,0.14,0.5,1.21,1.11,3.547603853575341,0.000718461404136006
2020-06-29,0.014680122877563076,0.14,0.5,1.2000000000000002,1.14,3.4588371827147846,0.00041026580028047377
2020-06-30,0.015403526525205406,0.16,0.5,1.25,1.16,3.4154289739376598,-0.0015378462627738676
2020-07-01,0.005016577265308833,0.14,0.5499999999999999,1.1800000000000002,1.17,3.3541058034516236,-0.0019509440660951949
2020-07-02,0.00453569528880852,0.14,0.54,1.1799999999999997,1.21,3.3207101417746054,0.0012345961970134933
2020-07-03,-5.555555555555557e-06,0.14,0.54,1.1799999999999997,1.21,3.3207101417746054,0.0
2020-07-06,0.01587577348650646,0.15,0.5399999999999999,1.19,1.28,3.3300593729432615,-0.005445938974094178
2020-07-07,-0.01082448440914954,0.15,0.5,1.19,1.26,3.3820145726149287,0.0009298102803942943
2020-07-08,0.00782150953446312,0.15,0.52,1.1999999999999997,1.25,3.3350575764405894,-0.004644890183729933
2020-07-09,-0.005648764889519833,0.13,0.49,1.19,1.22,3.376221403414324,0.002799923698143081
2020-07-10,0.01046104254308565,0.13,0.52,1.2000000000000002,1.25,3.3065203682683353,-0.0005170157594734937
2020-07-13,-0.009368096683343782,0.14,0.5,1.1999999999999997,1.27,3.4716558026486775,-0.0019658814113455714
2020-07-14,0.01340041840171555,0.15,0.48,1.21,1.27,3.3850680152391712,-0.0020733666819449104
2020-07-15,0.009075701534573847,0.16,0.48,1.2000000000000002,1.28,3.3235961438836266,-0.0018699387199372364
2020-07-16,-0.0034104663249017206,0.11,0.51,1.17,1.3,3.332204510175204,0.002810123209002091
2020-07-17,0.0028442471152523266,0.11,0.53,1.19,1.35,3.2457124907055523,-0.004255278040559252
2020-07-20,0.00840178001698387,0.13,0.49,1.1799999999999997,1.37,3.197039092829453,-0.0011465562596659762
2020-07-21,0.0016738786117548171,0.13,0.48,1.1600000000000001,1.4,3.2124552632081076,-0.007408943659673151
2020-07-22,0.00574192333858102,0.13,0.47,1.13,1.4,3.19129904454962,-0.0015769714208119234
2020-07-23,-0.01232462172895494,0.12,0.47,1.12,1.37,3.261168734133071,-0.0029482865715266815
2020-07-24,-0.006194765134053485,0.11,0.48,1.1600000000000001,1.35,3.2519236848195052,-0.002640194250229322
2020-07-27,0.007390773715674422,0.11,0.51,1.1500000000000004,1.38,3.208421357712853,-0.008153369891521045
2020-07-28,-0.0064777572316629985,0.11,0.48,1.1400000000000001,1.36,3.236322759464752,0.0009608622722807603
