date,actual,narx
2023-03-13,-3.889474,-4.114235
2023-03-14,-4.101203,-4.046542
2023-03-15,-4.151887,-4.133218
2023-03-16,-4.418110,-4.097234
2023-03-17,-4.228743,-4.236840
2023-03-20,-4.422043,-4.100725
2023-03-21,-4.686725,-4.228970
2023-03-22,-4.127116,-4.401067
2023-03-23,-4.358353,-4.138725
2023-03-24,-4.420801,-4.267223
2023-03-27,-4.669960,-4.337933
2023-03-28,-4.769360,-4.359544
2023-03-29,-4.962227,-4.457439
2023-03-30,-4.978251,-4.649388
2023-03-31,-4.962414,-4.634623
2023-04-03,-4.822303,-4.732754
2023-04-04,-4.732625,-4.655016
2023-04-05,-4.627570,-4.565701
2023-04-06,-4.824070,-4.590687
2023-04-10,-4.698555,-4.623310
2023-04-11,-4.914118,-4.623848
2023-04-12,-4.495120,-4.618049
2023-04-13,-4.825988,-4.508943
2023-04-14,-4.549238,-4.623444
2023-04-17,-5.065563,-4.576729
2023-04-18,-4.690548,-4.677409
2023-04-19,-4.917491,-4.640616
2023-04-20,-4.740261,-4.671018
2023-04-21,-4.791443,-4.627848
2023-04-24,-4.863316,-4.648151
2023-04-25,-4.738873,-4.655236
2023-04-26,-4.667666,-4.583850
2023-04-27,-4.861263,-4.553241
2023-04-28,-4.608529,-4.723673
2023-05-01,-4.825571,-4.652917
2023-05-02,-4.757845,-4.647225
2023-05-03,-4.599002,-4.569115
2023-05-04,-4.463287,-4.498437
2023-05-05,-4.386852,-4.443849
2023-05-08,-4.645395,-4.512961
2023-05-09,-5.147866,-4.538842
2023-05-10,-4.594149,-4.657103
2023-05-11,-4.715759,-4.652054
2023-05-12,-4.903965,-4.630281
2023-05-15,-5.146132,-4.691065
2023-05-16,-5.048370,-4.743980
2023-05-17,-4.800502,-4.765545
2023-05-18,-4.622775,-4.821027
2023-05-19,-4.814924,-4.759580
2023-05-22,-4.911888,-4.692077
2023-05-23,-4.929644,-4.730006
2023-05-24,-4.796348,-4.701982
2023-05-25,-4.664234,-4.684267
2023-05-26,-4.909918,-4.698382
2023-05-30,-4.506132,-4.696160
2023-05-31,-4.345500,-4.635446
2023-06-01,-4.769240,-4.517591
2023-06-02,-4.498389,-4.637098
2023-06-05,-3.717364,-4.655027
2023-06-06,-4.477767,-4.362641
2023-06-07,-4.598563,-4.455010
2023-06-08,-4.915558,-4.459569
2023-06-09,-4.690330,-4.601753
2023-06-12,-5.055915,-4.669105
2023-06-13,-4.901410,-4.724780
2023-06-14,-4.542420,-4.748300
2023-06-15,-4.999631,-4.699540
2023-06-16,-5.077301,-4.786394
2023-06-20,-4.916949,-4.837994
2023-06-21,-4.788681,-4.790513
2023-06-22,-4.822119,-4.789210
2023-06-23,-4.876759,-4.819820
2023-06-26,-4.819625,-4.764897
2023-06-27,-5.096421,-4.758394
2023-06-28,-4.703660,-4.863880
2023-06-29,-4.976646,-4.799715
2023-06-30,-4.930129,-4.813974
2023-07-03,-5.299263,-4.858641
2023-07-05,-4.764149,-4.871550
2023-07-06,-4.950060,-4.839238
2023-07-07,-4.912954,-4.782033
2023-07-10,-4.562941,-4.795165
2023-07-11,-4.676587,-4.739173
2023-07-12,-4.661247,-4.736651
2023-07-13,-5.027043,-4.732479
2023-07-14,-4.996940,-4.783594
2023-07-17,-5.053129,-4.823755
2023-07-18,-5.015006,-4.844847
2023-07-19,-4.046598,-4.875050
2023-07-20,-4.595635,-4.673605
2023-07-21,-4.775119,-4.619667
2023-07-24,-4.755327,-4.711760
2023-07-25,-5.168517,-4.703989
2023-07-26,-4.546114,-4.808503
2023-07-27,-4.637789,-4.748235
2023-07-28,-4.761511,-4.652183
2023-07-31,-5.008043,-4.771147
2023-08-01,-5.092959,-4.785229
2023-08-02,-4.722949,-4.826666
2023-08-03,-4.710877,-4.731255
2023-08-04,-3.931071,-4.714662
2023-08-07,-4.377542,-4.446935
2023-08-08,-4.526267,-4.505155
2023-08-09,-4.588048,-4.509205
2023-08-10,-4.567265,-4.499098
2023-08-11,-4.695315,-4.558748
2023-08-14,-4.749663,-4.615892
2023-08-15,-4.938892,-4.655924
2023-08-16,-4.643613,-4.647042
2023-08-17,-4.436068,-4.651251
2023-08-18,-4.681993,-4.556733
2023-08-21,-4.751814,-4.613702
2023-08-22,-4.865817,-4.673042
2023-08-23,-4.920323,-4.682180
2023-08-24,-4.729648,-4.789240
2023-08-25,-4.353502,-4.662871
2023-08-28,-4.795275,-4.651623
2023-08-29,-4.675856,-4.699880
2023-08-30,-4.617992,-4.739840
2023-08-31,-4.825037,-4.685835
2023-09-01,-4.855851,-4.737106
