date,actual,enn,jnn
2023-04-25,-4.721959,-4.403926,-4.836555
2023-04-26,-4.441447,-4.389923,-4.777618
2023-04-27,-4.730653,-4.373944,-4.628202
2023-04-28,-4.666987,-4.388159,-4.695844
2023-05-01,-4.275632,-4.386163,-4.699180
2023-05-02,-4.213557,-4.366302,-4.484426
2023-05-03,-4.576588,-4.362250,-4.296849
2023-05-04,-4.104600,-4.379086,-4.430161
2023-05-05,-4.330812,-4.359580,-4.250969
2023-05-08,-4.583136,-4.366528,-4.296782
2023-05-09,-4.717424,-4.534380,-4.431828
2023-05-10,-4.605617,-4.684912,-4.660568
2023-05-11,-4.479638,-4.652537,-4.685867
2023-05-12,-4.616280,-4.559194,-4.610330
2023-05-15,-4.762251,-4.621877,-4.630916
2023-05-16,-4.651502,-4.718315,-4.717267
2023-05-17,-4.484584,-4.683823,-4.717016
2023-05-18,-4.647724,-4.571003,-4.629760
2023-05-19,-4.420679,-4.643704,-4.657343
2023-05-22,-4.374240,-4.516099,-4.545722
2023-05-23,-4.413673,-4.440904,-4.464415
2023-05-24,-4.582740,-4.443700,-4.412074
2023-05-25,-4.725750,-4.572345,-4.527826
2023-05-26,-4.764391,-4.693088,-4.681459
2023-05-30,-4.499998,-4.734272,-4.749955
2023-05-31,-4.404323,-4.595728,-4.657056
2023-06-01,-4.433777,-4.486440,-4.537313
2023-06-02,-4.652958,-4.472289,-4.460313
2023-06-05,-4.671153,-4.624336,-4.588090
2023-06-06,-4.915228,-4.675684,-4.679239
2023-06-07,-4.655587,-4.787884,-4.789759
2023-06-08,-5.151167,-4.699283,-4.739793
2023-06-09,-4.715828,-4.844904,-4.807305
2023-06-12,-4.662059,-4.738668,-4.748299
2023-06-13,-4.740325,-4.688507,-4.716851
2023-06-14,-4.537738,-4.718300,-4.721388
2023-06-15,-4.842920,-4.615258,-4.649598
2023-06-16,-5.012285,-4.748785,-4.735940
2023-06-20,-4.881365,-4.822713,-4.790512
2023-06-21,-4.663333,-4.794353,-4.782990
2023-06-22,-4.709885,-4.701406,-4.727649
2023-06-23,-4.861315,-4.706036,-4.720203
2023-06-26,-4.807169,-4.771436,-4.757421
2023-06-27,-5.010924,-4.762544,-4.758711
2023-06-28,-4.900019,-4.822202,-4.796374
2023-06-29,-4.342076,-4.800002,-4.785729
2023-06-30,-4.747399,-4.499482,-4.589145
2023-07-03,-4.985746,-4.678894,-4.675376
2023-07-05,-4.954682,-4.807484,-4.766962
2023-07-06,-4.672252,-4.814471,-4.792845
2023-07-07,-5.065536,-4.709857,-4.733948
2023-07-10,-4.938303,-4.828756,-4.798856
2023-07-11,-4.782543,-4.812491,-4.791466
2023-07-12,-4.428398,-4.756965,-4.762987
2023-07-13,-4.884270,-4.545431,-4.619138
2023-07-14,-4.065681,-4.744317,-4.727860
2023-07-17,-4.559783,-4.288070,-4.377286
2023-07-18,-4.930049,-4.494735,-4.477650
2023-07-19,-4.732601,-4.754844,-4.676399
2023-07-20,-5.071799,-4.727298,-4.733595
2023-07-21,-4.848460,-4.822991,-4.795346
2023-07-24,-4.757714,-4.776623,-4.771513
2023-07-25,-4.724183,-4.734087,-4.748387
2023-07-26,-4.831513,-4.713353,-4.729220
2023-07-27,-4.705059,-4.754031,-4.750877
2023-07-28,-5.231680,-4.709582,-4.725418
2023-07-31,-4.889621,-4.849493,-4.808271
2023-08-01,-5.194043,-4.792777,-4.781611
2023-08-02,-4.761773,-4.849135,-4.812384
2023-08-03,-4.933614,-4.748355,-4.758811
2023-08-04,-4.793869,-4.790601,-4.780171
2023-08-07,-4.950713,-4.752568,-4.755937
2023-08-08,-4.483647,-4.796679,-4.781795
2023-08-09,-4.775107,-4.596622,-4.657022
2023-08-10,-4.742257,-4.708729,-4.714890
2023-08-11,-4.966407,-4.718634,-4.715326
2023-08-14,-5.043877,-4.791386,-4.767987
2023-08-15,-4.649863,-4.818577,-4.785417
2023-08-16,-4.824596,-4.689257,-4.718322
2023-08-17,-4.633602,-4.740799,-4.741436
2023-08-18,-4.732842,-4.667341,-4.690810
2023-08-21,-4.817127,-4.699242,-4.709981
2023-08-22,-4.645823,-4.741549,-4.733698
2023-08-23,-4.813068,-4.673717,-4.698384
2023-08-24,-4.585962,-4.734519,-4.732551
2023-08-25,-4.489311,-4.640429,-4.671953
2023-08-28,-4.939350,-4.554264,-4.604717
2023-08-29,-4.898524,-4.760151,-4.727719
2023-08-30,-4.863022,-4.780559,-4.758797
2023-08-31,-4.942042,-4.768670,-4.761003
2023-09-01,-4.984647,-4.790750,-4.771782
2023-09-05,-4.542175,-4.804449,-4.779370
2023-09-06,-4.950109,-4.629289,-4.680181
2023-09-07,-5.043717,-4.774274,-4.756044
2023-09-08,-5.061355,-4.817835,-4.781530
2023-09-11,-4.855879,-4.823507,-4.790130
2023-09-12,-4.733636,-4.771478,-4.764894
2023-09-13,-4.763624,-4.718196,-4.733653
2023-09-14,-4.730257,-4.721894,-4.732738
2023-09-15,-4.839644,-4.709276,-4.722665
2023-09-18,-5.119803,-4.750282,-4.746384
2023-09-19,-4.961515,-4.827782,-4.788457
2023-09-20,-4.773701,-4.801902,-4.779769
2023-09-21,-4.513244,-4.738714,-4.749493
2023-09-22,-4.550704,-4.595942,-4.659129
2023-09-25,-4.597827,-4.581062,-4.621497
2023-09-26,-4.671582,-4.608006,-4.616662
2023-09-27,-4.524136,-4.658891,-4.665900
2023-09-28,-4.571494,-4.585428,-4.625092
2023-09-29,-4.640681,-4.593112,-4.622129
2023-10-02,-4.545035,-4.637031,-4.643368
2023-10-03,-4.624396,-4.593041,-4.624604
2023-10-04,-4.663163,-4.627485,-4.646791
2023-10-05,-4.407676,-4.658100,-4.667493
2023-10-06,-4.437592,-4.506205,-4.567536
2023-10-09,-4.726368,-4.477153,-4.511662
2023-10-10,-4.716536,-4.654968,-4.618408
2023-10-11,-4.673473,-4.694567,-4.691839
2023-10-12,-4.642399,-4.678283,-4.701214
2023-10-13,-3.716556,-4.657406,-4.684770
2023-10-16,-4.331904,-4.086020,-4.209001
2023-10-17,-4.500339,-4.260741,-4.230338
2023-10-18,-4.416535,-4.450787,-4.328770
2023-10-19,-4.342321,-4.461024,-4.453637
2023-10-20,-4.303984,-4.397973,-4.420233
2023-10-23,-4.556210,-4.346826,-4.347617
2023-10-24,-4.745828,-4.514337,-4.460510
2023-10-25,-4.878774,-4.673193,-4.636272
2023-10-26,-4.529273,-4.753338,-4.733658
2023-10-27,-4.368143,-4.606360,-4.655918
2023-10-30,-4.582109,-4.455497,-4.531562
2023-10-31,-4.783922,-4.557014,-4.546850
2023-11-01,-4.570422,-4.696815,-4.667693
2023-11-02,-4.616792,-4.620010,-4.652304
2023-11-03,-4.693017,-4.623308,-4.652641
2023-11-06,-4.864376,-4.665364,-4.670177
2023-11-07,-5.031573,-4.745315,-4.729381
2023-11-08,-4.763367,-4.801099,-4.765738
2023-11-09,-4.702770,-4.728172,-4.733448
2023-11-10,-5.047102,-4.689000,-4.710108
2023-11-13,-4.945960,-4.797802,-4.762354
2023-11-14,-4.738962,-4.786578,-4.760939
2023-11-15,-4.898074,-4.716010,-4.742707
2023-11-16,-4.879413,-4.762756,-4.762033
2023-11-17,-5.077389,-4.764793,-4.762488
2023-11-20,-4.895341,-4.812721,-4.785892
2023-11-21,-5.024264,-4.774930,-4.770565
2023-11-22,-5.202669,-4.802041,-4.782587
2023-11-24,-5.558822,-4.836245,-4.796007
2023-11-27,-5.261510,-4.869832,-4.808038
2023-11-28,-5.100163,-4.846426,-4.801165
2023-11-29,-4.856438,-4.821767,-4.792442
2023-11-30,-4.956418,-4.762435,-4.767020
2023-12-01,-4.928064,-4.784595,-4.774899
2023-12-04,-4.766515,-4.780800,-4.772253
2023-12-05,-4.809864,-4.726536,-4.746981
2023-12-06,-4.884886,-4.734487,-4.748258
2023-12-07,-4.958998,-4.762269,-4.760320
2023-12-08,-5.039291,-4.786572,-4.773684
2023-12-11,-5.099700,-4.807242,-4.784085
2023-12-12,-4.976084,-4.820283,-4.790215
2023-12-13,-4.812809,-4.795760,-4.780771
2023-12-14,-4.503892,-4.745141,-4.757701
2023-12-15,-4.608864,-4.585025,-4.664443
2023-12-18,-4.928934,-4.628208,-4.644681
2023-12-19,-5.027016,-4.792441,-4.782032
2023-12-20,-4.769325,-4.866838,-4.852055
2023-12-21,-4.931621,-4.778749,-4.786622
2023-12-22,-5.251427,-4.824391,-4.823781
2023-12-26,-5.530211,-4.930825,-4.903090
2023-12-27,-5.332298,-4.994788,-4.948219
2023-12-28,-5.370128,-4.967944,-4.931803
2023-12-29,-5.685389,-4.971494,-4.934744
2024-01-02,-5.014219,-5.016448,-4.962302
2024-01-03,-4.862742,-4.892489,-4.879470
2024-01-04,-5.038724,-4.817941,-4.824500
2024-01-05,-4.854554,-4.870036,-4.859926
2024-01-08,-4.666176,-4.815545,-4.815711
2024-01-09,-5.121918,-4.713934,-4.733446
2024-01-10,-4.987074,-4.876414,-4.860814
2024-01-11,-4.847276,-4.868021,-4.854443
2024-01-12,-4.089543,-4.809860,-4.814351
2024-01-16,-4.380017,-4.331611,-4.395624
2024-01-17,-4.678233,-4.385822,-4.395514
2024-01-18,-4.846248,-4.606873,-4.571929
2024-01-19,-4.942414,-4.763479,-4.753360
2024-01-22,-4.964053,-4.828753,-4.822802
2024-01-23,-5.119310,-4.849697,-4.842668
2024-01-24,-5.000860,-4.904190,-4.886025
2024-01-25,-5.025508,-4.876977,-4.864754
2024-01-26,-5.304895,-4.878518,-4.867585
2024-01-29,-5.125683,-4.956876,-4.924787
2024-01-30,-4.870328,-4.924693,-4.900630
2024-01-31,-4.634045,-4.829592,-4.830063
2024-02-01,-4.449410,-4.695322,-4.717503
2024-02-02,-4.694612,-4.548603,-4.576390
2024-02-05,-4.928656,-4.649321,-4.653984
2024-02-06,-4.963571,-4.796046,-4.786301
2024-02-07,-4.899920,-4.845759,-4.837189
2024-02-08,-5.160447,-4.828007,-4.826148
2024-02-09,-5.222069,-4.911617,-4.891814
2024-02-12,-4.780028,-4.943442,-4.914220
2024-02-13,-4.562486,-4.796620,-4.801801
2024-02-14,-4.914360,-4.644326,-4.674138
2024-02-15,-4.707906,-4.781783,-4.781312
2024-02-16,-4.762123,-4.731091,-4.735488
2024-02-20,-4.813164,-4.737823,-4.749702
2024-02-21,-4.869439,-4.764664,-4.768782
2024-02-22,-4.889848,-4.791132,-4.791646
2024-02-23,-4.872457,-4.805784,-4.805565
2024-02-26,-5.068484,-4.801291,-4.803005
2024-02-27,-5.111448,-4.870168,-4.858916
2024-02-28,-5.067009,-4.895973,-4.879007
2024-02-29,-5.035077,-4.885834,-4.873007
2024-03-01,-5.044998,-4.873725,-4.864142
2024-03-04,-4.617541,-4.874982,-4.864766
2024-03-05,-4.745950,-4.695760,-4.716549
2024-03-06,-4.311660,-4.714704,-4.728631
2024-03-07,-4.831980,-4.469728,-4.490735
2024-03-08,-4.558517,-4.697186,-4.689337
2024-03-11,-4.916797,-4.631404,-4.626234
2024-03-12,-4.655973,-4.779819,-4.778160
2024-03-13,-5.047014,-4.701145,-4.706524
2024-03-14,-4.506353,-4.842819,-4.834970
2024-03-15,-4.841234,-4.633947,-4.650045
2024-03-18,-5.139065,-4.743490,-4.749884
2024-03-19,-5.116374,-4.882676,-4.861403
2024-03-20,-4.667710,-4.900875,-4.882349
2024-03-21,-4.889679,-4.726673,-4.744863
2024-03-22,-5.026210,-4.787439,-4.792770
2024-03-25,-4.869935,-4.851680,-4.553061
2024-03-26,-5.124500,-4.809908,-4.552951
2024-03-27,-5.081047,-4.886262,-4.552436
2024-03-28,-4.978550,-4.888885,-4.552755
2024-04-01,-4.824813,-4.855196,-4.553178
2024-04-02,-5.071615,-4.789072,-4.552626
2024-04-03,-5.002873,-4.865820,-4.552821
2024-04-04,-4.741095,-4.860803,-4.553133
2024-04-05,-4.687530,-4.753883,-4.551625
2024-04-08,-5.067240,-4.699712,-4.550667
2024-04-09,-4.564140,-4.845747,-4.552795
2024-04-10,-4.513834,-4.667772,-4.547796
2024-04-11,-4.572116,-4.576947,-4.546135
2024-04-12,-3.935005,-4.588281,-4.547800
