date,actual,narx
2023-11-13,-4.945960,-4.869731
2023-11-14,-4.738962,-4.818802
2023-11-15,-4.898074,-4.780507
2023-11-16,-4.879413,-4.821600
2023-11-17,-5.077389,-4.810028
2023-11-20,-4.895341,-4.856362
2023-11-21,-5.024264,-4.878260
2023-11-22,-5.202669,-4.871169
2023-11-24,-5.558822,-4.949810
2023-11-27,-5.261510,-5.031015
2023-11-28,-5.100163,-4.994911
2023-11-29,-4.856438,-4.945167
2023-11-30,-4.956418,-4.873820
2023-12-01,-4.928064,-4.867517
2023-12-04,-4.766515,-4.884188
2023-12-05,-4.809864,-4.818346
2023-12-06,-4.884886,-4.839362
2023-12-07,-4.958998,-4.852464
2023-12-08,-5.039291,-4.876816
2023-12-11,-5.099700,-4.930722
2023-12-12,-4.976084,-4.944947
2023-12-13,-4.812809,-4.929753
2023-12-14,-4.503892,-4.888517
2023-12-15,-4.608864,-4.761128
2023-12-18,-4.928934,-4.790764
2023-12-19,-5.027016,-4.892588
2023-12-20,-4.769325,-4.941852
2023-12-21,-4.931621,-4.829932
2023-12-22,-5.251427,-4.893595
2023-12-26,-5.530211,-4.976552
2023-12-27,-5.332298,-5.042933
2023-12-28,-5.370128,-5.047142
2023-12-29,-5.685389,-5.048452
2024-01-02,-5.014219,-5.102431
2024-01-03,-4.862742,-4.972441
2024-01-04,-5.038724,-4.854993
2024-01-05,-4.854554,-4.919390
2024-01-08,-4.666176,-4.869412
2024-01-09,-5.121918,-4.835737
2024-01-10,-4.987074,-4.963787
2024-01-11,-4.847276,-4.952280
2024-01-12,-4.089543,-4.882873
2024-01-16,-4.380017,-4.667330
2024-01-17,-4.678233,-4.604974
2024-01-18,-4.846248,-4.686592
2024-01-19,-4.942414,-4.810449
2024-01-22,-4.964053,-4.893293
2024-01-23,-5.119310,-4.906059
2024-01-24,-5.000860,-4.928915
2024-01-25,-5.025508,-4.903876
2024-01-26,-5.304895,-4.908392
2024-01-29,-5.125683,-4.987257
2024-01-30,-4.870328,-4.969210
2024-01-31,-4.634045,-4.882751
2024-02-01,-4.449410,-4.761799
2024-02-02,-4.694612,-4.701913
2024-02-05,-4.928656,-4.760910
2024-02-06,-4.963571,-4.858856
2024-02-07,-4.899920,-4.900465
2024-02-08,-5.160447,-4.906655
2024-02-09,-5.222069,-4.952792
2024-02-12,-4.780028,-4.979911
2024-02-13,-4.562486,-4.836854
2024-02-14,-4.914360,-4.669083
2024-02-15,-4.707906,-4.832908
2024-02-16,-4.762123,-4.781803
2024-02-20,-4.813164,-4.776100
2024-02-21,-4.869439,-4.796148
2024-02-22,-4.889848,-4.798529
2024-02-23,-4.872457,-4.846774
2024-02-26,-5.068484,-4.863704
2024-02-27,-5.111448,-4.901320
2024-02-28,-5.067009,-4.944511
2024-02-29,-5.035077,-4.917799
2024-03-01,-5.044998,-4.938605
2024-03-04,-4.617541,-4.950889
2024-03-05,-4.745950,-4.803753
2024-03-06,-4.311660,-4.771801
2024-03-07,-4.831980,-4.658300
2024-03-08,-4.558517,-4.776870
2024-03-11,-4.916797,-4.742202
2024-03-12,-4.655973,-4.783398
2024-03-13,-5.047014,-4.828103
2024-03-14,-4.506353,-4.867535
2024-03-15,-4.841234,-4.734823
2024-03-18,-5.139065,-4.768872
2024-03-19,-5.116374,-4.924775
2024-03-20,-4.667710,-4.929917
2024-03-21,-4.889679,-4.840318
2024-03-22,-5.026210,-4.899485
2024-03-25,-4.869935,-4.941295
2024-03-26,-5.124500,-4.880694
2024-03-27,-5.081047,-4.953369
2024-03-28,-4.978550,-5.003095
2024-04-01,-4.824813,-4.928320
2024-04-02,-5.071615,-4.876254
2024-04-03,-5.002873,-4.897623
2024-04-04,-4.741095,-4.903475
2024-04-05,-4.687530,-4.745368
2024-04-08,-5.067240,-4.765581
2024-04-09,-4.564140,-4.879891
2024-04-10,-4.513834,-4.747958
2024-04-11,-4.572116,-4.645967
2024-04-12,-3.935005,-4.738439
2024-04-15,-4.197342,-4.359490
2024-04-16,-4.193759,-4.334427
2024-04-17,-4.517758,-4.420424
2024-04-18,-4.459313,-4.495730
2024-04-19,-4.555872,-4.544797
2024-04-22,-4.796920,-4.545398
2024-04-23,-4.928366,-4.703837
2024-04-24,-4.790930,-4.804843
2024-04-25,-4.753699,-4.744386
2024-04-26,-4.928586,-4.749946
2024-04-29,-4.984686,-4.838637
2024-04-30,-4.785194,-4.857558
2024-05-01,-4.410231,-4.751048
2024-05-02,-4.684955,-4.641598
2024-05-03,-4.801033,-4.745838
2024-05-06,-4.973595,-4.845153
2024-05-07,-5.207181,-4.882267
2024-05-08,-4.818302,-4.967577
2024-05-09,-5.135455,-4.898309
2024-05-10,-5.149480,-4.944096
2024-05-13,-5.119162,-4.996304
2024-05-14,-4.961963,-4.930511
2024-05-15,-4.995034,-4.919076
2024-05-16,-4.751100,-4.966724
2024-05-17,-5.090873,-4.877401
2024-05-20,-4.080429,-4.962410
2024-05-21,-4.768692,-4.693008
2024-05-22,-4.642435,-4.823284
2024-05-23,-4.704313,-4.854976
2024-05-24,-5.108312,-4.773412
2024-05-28,-5.149632,-4.969886
2024-05-29,-4.963082,-4.996990
2024-05-30,-4.811179,-4.886779
2024-05-31,-4.686791,-4.861719
2024-06-03,-4.598661,-4.873614
2024-06-04,-4.673968,-4.800253
2024-06-05,-4.861426,-4.826885
2024-06-06,-4.957494,-4.919511
2024-06-07,-4.743396,-4.941000
2024-06-10,-4.818974,-4.909600
2024-06-11,-4.855986,-4.897076
2024-06-12,-4.537368,-4.916585
2024-06-13,-4.752283,-4.841131
2024-06-14,-4.724148,-4.885830
2024-06-17,-4.670858,-4.886338
2024-06-18,-4.665990,-4.843014
2024-06-20,-4.672201,-4.861350
2024-06-21,-4.592666,-4.838034
2024-06-24,-4.792138,-4.802424
2024-06-25,-4.791513,-4.842780
2024-06-26,-5.019108,-4.893054
2024-06-27,-4.960773,-4.942835
2024-06-28,-4.686139,-4.942675
2024-07-01,-4.491673,-4.848511
2024-07-02,-5.011258,-4.784731
2024-07-03,-4.831652,-4.928157
2024-07-05,-4.950813,-4.908828
2024-07-08,-5.098049,-4.897532
2024-07-09,-4.680224,-4.985295
2024-07-10,-4.674750,-4.870406
2024-07-11,-4.754941,-4.820450
2024-07-12,-4.020219,-4.837653
2024-07-15,-4.035649,-4.588657
2024-07-16,-4.361882,-4.493844
2024-07-17,-4.362528,-4.645050
2024-07-18,-4.064161,-4.546414
2024-07-19,-4.470426,-4.423316
2024-07-22,-4.572289,-4.554335
2024-07-23,-4.626391,-4.684405
2024-07-24,-4.484427,-4.677219
2024-07-25,-4.573106,-4.541101
2024-07-26,-4.497897,-4.575008
2024-07-29,-4.721461,-4.630352
2024-07-30,-4.500850,-4.688533
2024-07-31,-4.319093,-4.617663
2024-08-01,-4.389010,-4.577864
2024-08-02,-3.976956,-4.501544
2024-08-05,-4.053774,-4.182280
2024-08-06,-4.207522,-3.974776
2024-08-07,-4.273267,-4.225079
2024-08-08,-4.415950,-4.211919
2024-08-09,-4.457404,-4.406719
2024-08-12,-4.500076,-4.501807
2024-08-13,-4.835236,-4.502363
2024-08-14,-4.772004,-4.703612
2024-08-15,-4.617197,-4.767338
2024-08-16,-4.895114,-4.759148
2024-08-19,-5.071132,-4.821978
2024-08-20,-5.061032,-4.908647
2024-08-21,-4.643730,-4.867163
2024-08-22,-4.804614,-4.770812
2024-08-23,-4.483001,-4.743999
2024-08-26,-4.813166,-4.691081
2024-08-27,-5.050936,-4.735163
2024-08-28,-4.681432,-4.887593
2024-08-29,-4.647457,-4.746036
2024-08-30,-4.639025,-4.713160
2024-09-03,-4.493197,-4.745433
2024-09-04,-4.758175,-4.459555
2024-09-05,-4.469980,-4.557796
2024-09-06,-4.349102,-4.526984
2024-09-09,-4.492814,-4.354531
2024-09-10,-3.399971,-4.539443
2024-09-11,-4.274931,-4.102040
2024-09-12,-4.197000,-4.359213
2024-09-13,-4.435237,-4.461947
2024-09-16,-4.701954,-4.477762
2024-09-17,-4.602726,-4.658807
2024-09-18,-4.114401,-4.631680
2024-09-19,-4.389086,-4.386554
2024-09-20,-4.610500,-4.554098
2024-09-23,-4.899276,-4.641802
2024-09-24,-4.635163,-4.747032
2024-09-25,-4.807889,-4.719652
2024-09-26,-4.421145,-4.765631
2024-09-27,-4.738818,-4.648115
2024-09-30,-4.438618,-4.648198
2024-10-01,-4.485701,-4.618580
2024-10-02,-4.480460,-4.484137
2024-10-03,-4.700809,-4.536370
2024-10-04,-4.610741,-4.551690
2024-10-07,-4.768206,-4.589046
2024-10-08,-4.548775,-4.526575
2024-10-09,-4.744234,-4.516522
2024-10-10,-4.851152,-4.575552
2024-10-11,-4.109097,-4.633915
2024-10-14,-4.681571,-4.348748
2024-10-15,-4.498575,-4.545798
2024-10-16,-4.668120,-4.497157
2024-10-17,-4.631986,-4.532320
2024-10-18,-4.961333,-4.605549
2024-10-21,-4.862037,-4.723265
2024-10-22,-4.282023,-4.716481
2024-10-23,-4.836456,-4.486093
2024-10-24,-4.725140,-4.620911
2024-10-25,-4.758830,-4.640165
2024-10-28,-4.910144,-4.568541
2024-10-29,-4.824377,-4.702842
