date,AAPL_log_rv,AMZN_log_rv,JPM_log_rv
2016-08-24,-5.130735,-5.119808,-5.132845
2016-08-25,-5.055466,-5.312679,-5.271747
2016-08-26,-4.726814,-4.913252,-4.581265
2016-08-29,-4.992581,-5.058719,-5.462144
2016-08-30,-5.079039,-5.156212,-5.277408
2016-08-31,-5.083990,-5.190761,-5.017522
2016-09-01,-5.118405,-5.327273,-4.672497
2016-09-02,-4.899996,-5.277851,-4.923743
2016-09-06,-5.321060,-4.732072,-4.965597
2016-09-07,-4.644594,-5.187294,-4.957600
2016-09-08,-4.764688,-5.335466,-5.278181
2016-09-09,-4.680930,-4.747373,-4.754942
2016-09-12,-4.340339,-4.472163,-4.513845
2016-09-13,-4.491398,-4.730200,-4.454903
2016-09-14,-3.853984,-4.831897,-4.645123
2016-09-15,-4.440648,-4.749220,-4.955962
2016-09-16,-4.489919,-4.783934,-4.697773
2016-09-19,-4.615833,-4.861019,-4.934217
2016-09-20,-4.735609,-5.052276,-4.918463
2016-09-21,-4.813707,-4.933962,-4.744692
2016-09-22,-4.921594,-4.895218,-5.001429
2016-09-23,-4.217170,-5.128728,-4.993145
2016-09-26,-4.826239,-5.086397,-4.838610
2016-09-27,-5.054368,-4.891890,-4.634364
2016-09-28,-4.975212,-4.733721,-4.962789
2016-09-29,-4.647224,-4.526464,-4.389168
2016-09-30,-4.841097,-5.121954,-4.629161
2016-10-03,-5.078271,-4.917634,-4.868598
2016-10-04,-4.620258,-4.972961,-4.497802
2016-10-05,-5.154678,-5.113220,-4.745358
2016-10-06,-4.912795,-4.923513,-4.803689
2016-10-07,-4.886847,-4.940368,-4.838874
2016-10-10,-5.030645,-5.320695,-5.293662
2016-10-11,-4.545985,-4.897867,-4.803915
2016-10-12,-4.902944,-5.141466,-5.072518
2016-10-13,-4.740802,-4.605715,-4.628759
2016-10-14,-4.993403,-4.938820,-4.467564
2016-10-17,-5.120550,-4.610595,-4.808289
2016-10-18,-5.313644,-4.857723,-4.912321
2016-10-19,-5.147553,-5.305598,-4.837441
2016-10-20,-4.782590,-4.646848,-4.979343
2016-10-21,-5.221461,-5.089123,-4.998858
2016-10-24,-5.280461,-4.716105,-5.207715
2016-10-25,-5.256050,-5.063213,-5.104989
2016-10-26,-4.690202,-4.797384,-5.046489
2016-10-27,-4.881359,-4.623898,-5.005785
2016-10-28,-4.469149,-4.229760,-4.655628
2016-10-31,-5.096139,-4.639051,-5.304676
2016-11-01,-4.557522,-4.413895,-4.626613
2016-11-02,-4.858116,-4.269582,-4.554844
2016-11-03,-4.865427,-4.345995,-5.033429
2016-11-04,-4.660585,-4.392275,-4.880909
2016-11-07,-4.856225,-4.519516,-5.070614
2016-11-08,-4.808063,-4.666607,-4.854762
2016-11-09,-3.973472,-3.841428,-3.904694
2016-11-10,-3.546525,-3.064016,-3.806409
2016-11-11,-4.102913,-4.129000,-4.686516
2016-11-14,-4.158862,-3.966770,-3.826058
2016-11-15,-4.490135,-4.173709,-4.407433
2016-11-16,-4.354526,-4.344719,-4.649011
2016-11-17,-4.419089,-4.764435,-4.594900
2016-11-18,-4.992336,-4.650417,-4.915047
2016-11-21,-4.710514,-4.533566,-4.606326
2016-11-22,-5.015426,-4.523390,-4.789918
2016-11-23,-4.861207,-4.855255,-4.836052
2016-11-25,-5.417602,-5.203457,-5.273431
2016-11-28,-5.131414,-4.653835,-4.873475
2016-11-29,-4.755015,-4.733865,-4.926414
2016-11-30,-4.689319,-4.543276,-4.790435
2016-12-01,-4.411401,-4.380682,-4.381006
2016-12-02,-4.624235,-4.306993,-4.638222
2016-12-05,-4.472926,-4.601936,-4.736023
2016-12-06,-4.854775,-4.638705,-4.404138
2016-12-07,-4.816619,-4.643164,-4.673464
2016-12-08,-4.765985,-4.645683,-4.483085
2016-12-09,-4.778240,-5.077649,-4.709715
2016-12-12,-4.960379,-4.906299,-4.474948
2016-12-13,-4.644674,-4.504384,-4.531793
2016-12-14,-4.430852,-4.079669,-3.923083
2016-12-15,-4.984699,-4.643536,-4.424270
2016-12-16,-4.943816,-4.791320,-4.710749
2016-12-19,-5.037796,-4.682766,-4.553556
2016-12-20,-5.368088,-4.941835,-4.917890
2016-12-21,-5.415271,-5.271269,-5.175453
2016-12-22,-5.192085,-4.856668,-4.872652
2016-12-23,-5.476590,-5.340386,-5.321445
2016-12-27,-5.295435,-4.845664,-5.493496
2016-12-28,-5.101677,-4.705704,-5.159873
2016-12-29,-5.097787,-4.921540,-4.896866
2016-12-30,-4.744754,-4.870140,-5.061478
2017-01-03,-4.437958,-4.526115,-4.574615
2017-01-04,-5.305419,-4.978243,-4.929845
2017-01-05,-4.945190,-4.758882,-4.779319
2017-01-06,-5.151602,-4.615444,-4.965146
2017-01-09,-4.895253,-4.733509,-4.953104
2017-01-10,-4.943354,-5.092647,-5.001883
2017-01-11,-4.940267,-4.704578,-4.767418
2017-01-12,-4.928256,-4.582122,-4.679254
2017-01-13,-5.243068,-4.763011,-4.298972
2017-01-17,-5.101309,-4.603860,-4.455670
2017-01-18,-5.179683,-4.905411,-4.657943
2017-01-19,-5.362650,-4.926328,-4.706937
2017-01-20,-5.556339,-4.921386,-4.922899
2017-01-23,-5.151489,-5.005977,-4.794729
2017-01-24,-5.850920,-5.068123,-5.025004
2017-01-25,-5.281210,-5.003615,-5.066869
