date,actual,fnn,lstm,nar
2024-01-05,-4.854554,-4.910155,-4.894782,-4.994174
2024-01-08,-4.666176,-4.847219,-4.829873,-4.894071
2024-01-09,-5.121918,-4.751438,-4.732240,-4.802620
2024-01-10,-4.987074,-4.891586,-4.876835,-5.014885
2024-01-11,-4.847276,-4.891064,-4.877633,-4.925931
2024-01-12,-4.089543,-4.861170,-4.847871,-4.857527
2024-01-16,-4.380017,-4.400171,-4.435596,-4.461072
2024-01-17,-4.678233,-4.412031,-4.423856,-4.443067
2024-01-18,-4.846248,-4.544246,-4.551961,-4.605990
2024-01-19,-4.942414,-4.734956,-4.710336,-4.752323
2024-01-22,-4.964053,-4.836126,-4.810751,-4.827990
2024-01-23,-5.119310,-4.874925,-4.850770,-4.873219
2024-01-24,-5.000860,-4.938417,-4.925014,-4.871613
2024-01-25,-5.025508,-4.917906,-4.908049,-4.883244
2024-01-26,-5.304895,-4.927367,-4.908782,-4.926927
2024-01-29,-5.125683,-4.997134,-5.008789,-5.050997
2024-01-30,-4.870328,-4.977734,-4.994222,-5.025526
2024-01-31,-4.634045,-4.893090,-4.882771,-4.909883
2024-02-01,-4.449410,-4.739936,-4.711227,-4.778229
2024-02-02,-4.694612,-4.568676,-4.552116,-4.595196
