date,actual,fnn,lstm,nar
2022-12-05,-4.171495,-4.068336,-4.042385,-4.087307
2022-12-06,-4.082736,-4.147434,-4.148524,-4.096607
2022-12-07,-3.875302,-4.124428,-4.138453,-4.094840
2022-12-08,-3.851716,-3.978203,-4.006094,-3.972373
2022-12-09,-4.167696,-3.908918,-3.917142,-3.913665
2022-12-12,-4.263175,-4.070632,-4.044575,-4.069767
2022-12-13,-3.578194,-4.201601,-4.189843,-4.173458
2022-12-14,-3.482642,-3.884985,-3.919674,-3.825760
2022-12-15,-4.039179,-3.719579,-3.679111,-3.742752
2022-12-16,-3.916920,-3.920523,-3.836493,-3.933397
2022-12-19,-4.022465,-3.923987,-3.928611,-3.894984
2022-12-20,-3.772322,-4.009884,-4.010128,-3.965130
2022-12-21,-4.091257,-3.882749,-3.902062,-3.896257
2022-12-22,-4.123752,-4.020955,-3.998479,-3.998133
2022-12-23,-3.847408,-4.084363,-4.084580,-4.099082
2022-12-27,-4.196425,-3.963724,-3.994486,-3.914539
2022-12-28,-4.128685,-4.112281,-4.087791,-4.117288
2022-12-29,-4.381815,-4.121122,-4.129211,-4.126307
2022-12-30,-4.173357,-4.314721,-4.282912,-4.258873
2023-01-03,-3.729095,-4.238479,-4.275674,-4.234608
2023-01-04,-3.678039,-3.954266,-4.097367,-3.917459
2023-01-05,-4.214010,-3.806373,-3.892943,-3.857798
2023-01-06,-3.800307,-4.055837,-3.973287,-4.067997
2023-01-09,-4.122268,-3.915806,-3.988339,-3.908736
2023-01-10,-3.884835,-4.063658,-4.080647,-4.029406
2023-01-11,-4.077293,-3.951598,-4.013753,-4.003978
2023-01-12,-3.638226,-4.044509,-4.072775,-4.008447
2023-01-13,-4.144511,-3.830605,-3.930409,-3.864461
2023-01-17,-4.082237,-4.032785,-4.007400,-4.002240
2023-01-18,-3.780875,-4.057870,-4.059097,-4.096268
2023-01-19,-3.988962,-3.925223,-4.036026,-3.880349
2023-01-20,-4.151736,-3.965328,-3.998341,-4.006172
2023-01-23,-4.116930,-4.080449,-4.062720,-4.078897
2023-01-24,-4.023199,-4.119848,-4.148216,-4.084692
2023-01-25,-3.792770,-4.070823,-4.136443,-4.056477
2023-01-26,-3.881968,-3.913765,-4.015028,-3.914923
2023-01-27,-4.041961,-3.902249,-3.951875,-3.918552
2023-01-30,-4.065077,-3.991049,-3.989751,-3.998488
2023-01-31,-4.100032,-4.047789,-4.069721,-4.019161
2023-02-01,-3.582110,-4.092933,-4.124141,-4.069414
2023-02-02,-3.606137,-3.845370,-3.917036,-3.805357
2023-02-03,-3.343241,-3.762632,-3.768731,-3.766104
2023-02-06,-3.841461,-3.666722,-3.596880,-3.646647
2023-02-07,-3.614874,-3.803873,-3.719102,-3.762371
2023-02-08,-3.924544,-3.755370,-3.738854,-3.726921
2023-02-09,-3.870822,-3.882787,-3.871156,-3.832398
2023-02-10,-4.011932,-3.890376,-3.912889,-3.912817
2023-02-13,-4.231695,-3.979229,-4.003738,-3.941879
2023-02-14,-3.837485,-4.137972,-4.139754,-4.151931
2023-02-15,-3.963010,-3.981239,-4.059759,-3.934266
2023-02-16,-4.082090,-3.974524,-4.018853,-3.985805
2023-02-17,-4.098121,-4.031312,-4.051761,-4.068680
2023-02-21,-4.434834,-4.082129,-4.117286,-4.044940
2023-02-22,-4.064904,-4.315562,-4.290526,-4.294478
2023-02-23,-4.239179,-4.177797,-4.239224,-4.152760
2023-02-24,-4.041982,-4.224521,-4.246241,-4.194730
2023-02-27,-4.233878,-4.102442,-4.159927,-4.148920
2023-02-28,-4.547449,-4.189633,-4.206572,-4.161730
2023-03-01,-4.093678,-4.419746,-4.378118,-4.424627
2023-03-02,-4.274806,-4.247287,-4.308452,-4.192736
2023-03-03,-4.263659,-4.271219,-4.288374,-4.246285
2023-03-06,-4.197879,-4.256819,-4.274262,-4.314287
2023-03-07,-3.881962,-4.237073,-4.256680,-4.195175
2023-03-08,-4.226458,-4.030757,-4.083052,-4.025291
2023-03-09,-4.009153,-4.138083,-4.141140,-4.148933
2023-03-10,-3.756748,-4.060976,-4.108165,-4.082495
2023-03-13,-3.402057,-3.915657,-3.959359,-3.878638
2023-03-14,-3.894961,-3.725455,-3.694228,-3.721290
2023-03-15,-3.713422,-3.839770,-3.781297,-3.834033
2023-03-16,-3.798110,-3.805071,-3.804445,-3.799217
2023-03-17,-3.877139,-3.843589,-3.844958,-3.802375
2023-03-20,-3.883322,-3.880778,-3.887811,-3.888090
2023-03-21,-4.293896,-3.904016,-3.925485,-3.873516
2023-03-22,-3.753176,-4.146529,-4.138479,-4.138877
2023-03-23,-4.010924,-3.947766,-4.006663,-3.913187
2023-03-24,-4.147851,-3.990096,-4.007386,-3.990554
2023-03-27,-4.255990,-4.074383,-4.092932,-4.127264
2023-03-28,-4.364693,-4.206055,-4.218426,-4.147807
2023-03-29,-4.215063,-4.325887,-4.320237,-4.287544
2023-03-30,-4.336173,-4.276277,-4.294283,-4.238875
2023-03-31,-4.613567,-4.324262,-4.318102,-4.293732
2023-04-03,-4.255463,-4.514142,-4.468988,-4.488868
2023-04-04,-4.191786,-4.386580,-4.397689,-4.336327
2023-04-05,-4.349456,-4.276889,-4.290389,-4.240704
2023-04-06,-4.390240,-4.308483,-4.298060,-4.356162
