date,actual,arfimax
2023-02-06,-4.268379,-4.050387
2023-02-07,-3.954759,-4.090499
2023-02-08,-4.266057,-4.129252
2023-02-09,-4.314705,-4.118742
2023-02-10,-4.422898,-4.131171
2023-02-13,-4.679501,-4.233079
2023-02-14,-4.149080,-4.373647
2023-02-15,-4.317420,-4.345673
2023-02-16,-4.416322,-4.379550
2023-02-17,-4.423652,-4.258660
2023-02-21,-4.661120,-4.324524
2023-02-22,-4.288790,-4.257992
2023-02-23,-4.479335,-4.290433
2023-02-24,-4.675693,-4.378678
2023-02-27,-4.764465,-4.405336
2023-02-28,-4.923890,-4.517844
2023-03-01,-4.455407,-4.623976
2023-03-02,-4.629959,-4.519944
2023-03-03,-4.600824,-4.608102
2023-03-06,-4.388197,-4.645313
2023-03-07,-4.193089,-4.517271
2023-03-08,-4.557330,-4.335434
2023-03-09,-4.397265,-4.429414
2023-03-10,-4.132662,-4.205539
2023-03-13,-3.889474,-4.087418
2023-03-14,-4.101203,-3.966477
2023-03-15,-4.151887,-4.175876
2023-03-16,-4.418110,-4.097001
2023-03-17,-4.228743,-4.336673
2023-03-20,-4.422043,-4.141104
2023-03-21,-4.686725,-4.293999
2023-03-22,-4.127116,-4.542098
2023-03-23,-4.358353,-4.292985
2023-03-24,-4.420801,-4.326546
2023-03-27,-4.669960,-4.433287
2023-03-28,-4.769360,-4.528687
2023-03-29,-4.962227,-4.651372
2023-03-30,-4.978251,-4.788254
2023-03-31,-4.962414,-4.778560
2023-04-03,-4.822303,-4.868282
2023-04-04,-4.732625,-4.787960
2023-04-05,-4.627570,-4.627014
2023-04-06,-4.824070,-4.630186
2023-04-10,-4.698555,-4.706702
2023-04-11,-4.914118,-4.659146
2023-04-12,-4.495120,-4.697510
2023-04-13,-4.825988,-4.593944
2023-04-14,-4.549238,-4.746889
2023-04-17,-5.065563,-4.715685
2023-04-18,-4.690548,-4.831705
2023-04-19,-4.917491,-4.763976
2023-04-20,-4.740261,-4.835748
2023-04-21,-4.791443,-4.727989
2023-04-24,-4.863316,-4.771968
2023-04-25,-4.738873,-4.782289
2023-04-26,-4.667666,-4.635216
2023-04-27,-4.861263,-4.632568
2023-04-28,-4.608529,-4.832119
2023-05-01,-4.825571,-4.816537
2023-05-02,-4.757845,-4.763498
2023-05-03,-4.599002,-4.640794
2023-05-04,-4.463287,-4.586655
2023-05-05,-4.386852,-4.454603
2023-05-08,-4.645395,-4.641839
2023-05-09,-5.147866,-4.643780
2023-05-10,-4.594149,-4.754878
2023-05-11,-4.715759,-4.744310
2023-05-12,-4.903965,-4.734534
2023-05-15,-5.146132,-4.780654
2023-05-16,-5.048370,-4.861024
2023-05-17,-4.800502,-4.827605
2023-05-18,-4.622775,-4.892960
2023-05-19,-4.814924,-4.847653
2023-05-22,-4.911888,-4.743766
2023-05-23,-4.929644,-4.780016
2023-05-24,-4.796348,-4.732259
2023-05-25,-4.664234,-4.648154
2023-05-26,-4.909918,-4.699855
2023-05-30,-4.506132,-4.811048
2023-05-31,-4.345500,-4.724868
2023-06-01,-4.769240,-4.569678
2023-06-02,-4.498389,-4.788810
2023-06-05,-3.717364,-4.811608
2023-06-06,-4.477767,-4.433136
2023-06-07,-4.598563,-4.562382
2023-06-08,-4.915558,-4.608091
2023-06-09,-4.690330,-4.759243
2023-06-12,-5.055915,-4.742949
2023-06-13,-4.901410,-4.769143
2023-06-14,-4.542420,-4.814318
2023-06-15,-4.999631,-4.762784
2023-06-16,-5.077301,-4.813572
2023-06-20,-4.916949,-4.964678
2023-06-21,-4.788681,-4.899004
2023-06-22,-4.822119,-4.897943
2023-06-23,-4.876759,-4.912269
2023-06-26,-4.819625,-4.854809
2023-06-27,-5.096421,-4.774450
2023-06-28,-4.703660,-4.925615
2023-06-29,-4.976646,-4.873309
2023-06-30,-4.930129,-4.893950
2023-07-03,-5.299263,-4.889910
2023-07-05,-4.764149,-5.000717
2023-07-06,-4.950060,-4.851800
2023-07-07,-4.912954,-4.761491
2023-07-10,-4.562941,-4.830202
2023-07-11,-4.676587,-4.721874
2023-07-12,-4.661247,-4.728131
2023-07-13,-5.027043,-4.802733
2023-07-14,-4.996940,-4.899133
2023-07-17,-5.053129,-4.944174
2023-07-18,-5.015006,-4.967659
2023-07-19,-4.046598,-4.981799
2023-07-20,-4.595635,-4.657225
2023-07-21,-4.775119,-4.651379
2023-07-24,-4.755327,-4.758662
2023-07-25,-5.168517,-4.765183
2023-07-26,-4.546114,-4.886977
2023-07-27,-4.637789,-4.798818
2023-07-28,-4.761511,-4.667673
2023-07-31,-5.008043,-4.818306
2023-08-01,-5.092959,-4.854004
2023-08-02,-4.722949,-4.872349
2023-08-03,-4.710877,-4.631165
2023-08-04,-3.931071,-4.639999
2023-08-07,-4.377542,-4.360357
2023-08-08,-4.526267,-4.533137
2023-08-09,-4.588048,-4.547571
2023-08-10,-4.567265,-4.568256
2023-08-11,-4.695315,-4.577517
2023-08-14,-4.749663,-4.693777
2023-08-15,-4.938892,-4.718147
2023-08-16,-4.643613,-4.622194
2023-08-17,-4.436068,-4.581002
2023-08-18,-4.681993,-4.443821
2023-08-21,-4.751814,-4.567133
2023-08-22,-4.865817,-4.614334
2023-08-23,-4.920323,-4.671997
2023-08-24,-4.729648,-4.789463
2023-08-25,-4.353502,-4.646361
2023-08-28,-4.795275,-4.642245
2023-08-29,-4.675856,-4.755787
2023-08-30,-4.617992,-4.763780
2023-08-31,-4.825037,-4.746585
2023-09-01,-4.855851,-4.825821
2023-09-05,-4.871556,-4.845946
2023-09-06,-4.191124,-4.792527
2023-09-07,-4.105788,-4.545721
2023-09-08,-4.434131,-4.485565
2023-09-11,-4.477272,-4.584941
2023-09-12,-4.128352,-4.584342
2023-09-13,-4.507203,-4.455074
2023-09-14,-4.578171,-4.613342
2023-09-15,-4.973958,-4.689216
2023-09-18,-4.861605,-4.674936
2023-09-19,-4.910938,-4.700582
2023-09-20,-4.505696,-4.732967
2023-09-21,-4.536782,-4.541927
2023-09-22,-4.676145,-4.345655
2023-09-25,-4.603486,-4.535020
2023-09-26,-4.573588,-4.525321
2023-09-27,-4.422248,-4.364043
2023-09-28,-4.291111,-4.423402
2023-09-29,-4.604885,-4.418477
2023-10-02,-4.410261,-4.464596
2023-10-03,-4.495744,-4.437906
2023-10-04,-4.561994,-4.289798
2023-10-05,-4.645138,-4.442554
2023-10-06,-4.591781,-4.454709
2023-10-09,-4.699524,-4.542531
2023-10-10,-4.803920,-4.544228
2023-10-11,-4.710587,-4.636958
2023-10-12,-4.599950,-4.690139
2023-10-13,-4.681222,-4.583619
2023-10-16,-4.646604,-4.451931
2023-10-17,-4.555920,-4.615572
2023-10-18,-4.426943,-4.521484
2023-10-19,-4.225464,-4.391302
2023-10-20,-4.594785,-4.219540
2023-10-23,-4.373162,-4.332322
2023-10-24,-4.576629,-4.381273
2023-10-25,-4.543177,-4.532611
2023-10-26,-4.104307,-4.398723
2023-10-27,-4.264186,-4.265230
2023-10-30,-4.475071,-4.267466
2023-10-31,-4.510604,-4.422017
2023-11-01,-4.454972,-4.536527
2023-11-02,-4.697845,-4.578133
2023-11-03,-4.190053,-4.689587
2023-11-06,-4.639768,-4.557145
2023-11-07,-4.753126,-4.632115
2023-11-08,-4.908413,-4.693866
2023-11-09,-4.588709,-4.782932
2023-11-10,-4.921968,-4.627052
2023-11-13,-5.030550,-4.817868
2023-11-14,-4.906249,-4.794283
2023-11-15,-5.010249,-4.859626
2023-11-16,-4.746424,-4.877267
2023-11-17,-4.904330,-4.790193
2023-11-20,-5.050335,-4.846112
2023-11-21,-5.121862,-4.936142
2023-11-22,-4.758367,-4.951849
2023-11-24,-5.502282,-4.889970
2023-11-27,-5.111829,-5.089351
2023-11-28,-5.227049,-5.016846
2023-11-29,-5.177046,-5.055899
2023-11-30,-4.792368,-5.020740
2023-12-01,-4.860625,-4.942643
2023-12-04,-4.907376,-4.929406
2023-12-05,-4.318768,-4.878099
2023-12-06,-4.835444,-4.732179
2023-12-07,-4.992279,-4.810263
2023-12-08,-4.988732,-4.850217
2023-12-11,-5.062213,-4.942216
2023-12-12,-5.034624,-4.927511
2023-12-13,-4.750276,-4.974317
2023-12-14,-4.716662,-4.878903
2023-12-15,-4.905662,-4.829281
2023-12-18,-4.885436,-4.904426
2023-12-19,-5.094502,-4.869126
2023-12-20,-4.970048,-4.928723
2023-12-21,-4.742429,-4.824233
2023-12-22,-5.223186,-4.796011
2023-12-26,-5.343213,-4.961694
2023-12-27,-4.984318,-5.034757
2023-12-28,-5.174752,-5.000622
2023-12-29,-5.280186,-5.026882
2024-01-02,-4.412468,-5.064559
2024-01-03,-4.794869,-4.758533
2024-01-04,-4.666626,-4.740908
2024-01-05,-4.507004,-4.699558
2024-01-08,-4.598625,-4.721342
2024-01-09,-4.730401,-4.755908
2024-01-10,-4.789721,-4.796041
2024-01-11,-4.428851,-4.801888
2024-01-12,-5.037349,-4.718110
2024-01-16,-4.512725,-4.831792
2024-01-17,-4.747904,-4.647374
