date,actual,narx
2023-03-02,-4.274806,-4.070236
2023-03-03,-4.263659,-4.169223
2023-03-06,-4.197879,-4.210307
2023-03-07,-3.881962,-4.094342
2023-03-08,-4.226458,-3.968507
2023-03-09,-4.009153,-4.054548
2023-03-10,-3.756748,-3.924346
2023-03-13,-3.402057,-3.783081
2023-03-14,-3.894961,-3.679762
2023-03-15,-3.713422,-3.809958
2023-03-16,-3.798110,-3.773676
2023-03-17,-3.877139,-3.795393
2023-03-20,-3.883322,-3.807586
2023-03-21,-4.293896,-3.857858
2023-03-22,-3.753176,-4.071638
2023-03-23,-4.010924,-3.840903
2023-03-24,-4.147851,-3.941196
2023-03-27,-4.255990,-4.074364
2023-03-28,-4.364693,-4.079593
2023-03-29,-4.215063,-4.169431
2023-03-30,-4.336173,-4.195816
2023-03-31,-4.613567,-4.200496
2023-04-03,-4.255463,-4.412755
2023-04-04,-4.191786,-4.236317
2023-04-05,-4.349456,-4.130919
2023-04-06,-4.390240,-4.241197
2023-04-10,-4.386770,-4.260962
2023-04-11,-4.560682,-4.275142
2023-04-12,-4.156348,-4.340406
2023-04-13,-4.290924,-4.175216
2023-04-14,-4.020344,-4.217322
2023-04-17,-4.518544,-4.119951
2023-04-18,-4.378378,-4.279202
2023-04-19,-4.280105,-4.286733
2023-04-20,-4.322268,-4.227582
2023-04-21,-4.279240,-4.241195
2023-04-24,-4.079377,-4.238421
2023-04-25,-4.296667,-4.107173
2023-04-26,-3.966859,-4.142157
2023-04-27,-3.983776,-4.021218
2023-04-28,-3.916160,-4.032885
2023-05-01,-4.177246,-4.016207
2023-05-02,-4.187523,-4.079206
2023-05-03,-3.981282,-4.074992
2023-05-04,-4.209672,-3.987198
2023-05-05,-4.641727,-4.073783
2023-05-08,-4.486837,-4.396072
2023-05-09,-4.397805,-4.346220
2023-05-10,-4.077568,-4.302022
2023-05-11,-4.206197,-4.211512
2023-05-12,-4.312169,-4.183803
2023-05-15,-4.146746,-4.207415
2023-05-16,-4.242726,-4.121771
2023-05-17,-4.405178,-4.118730
2023-05-18,-4.220177,-4.286090
2023-05-19,-4.485581,-4.256556
