date,actual,lstar
2023-04-28,-4.666987,-4.700548
2023-05-01,-4.275632,-4.654985
2023-05-02,-4.213557,-4.351510
2023-05-03,-4.576588,-4.299989
2023-05-04,-4.104600,-4.588381
2023-05-05,-4.330812,-4.207578
2023-05-08,-4.583136,-4.396582
2023-05-09,-4.717424,-4.591835
2023-05-10,-4.605617,-4.688744
2023-05-11,-4.479638,-4.608393
2023-05-12,-4.616280,-4.513896
2023-05-15,-4.762251,-4.616201
2023-05-16,-4.651502,-4.720011
2023-05-17,-4.484584,-4.641775
2023-05-18,-4.647724,-4.517683
2023-05-19,-4.420679,-4.639048
2023-05-22,-4.374240,-4.468272
2023-05-23,-4.413673,-4.431726
2023-05-24,-4.582740,-4.462792
2023-05-25,-4.725750,-4.591541
2023-05-26,-4.764391,-4.694593
2023-05-30,-4.499998,-4.721490
2023-05-31,-4.404323,-4.529446
2023-06-01,-4.433777,-4.455461
2023-06-02,-4.652958,-4.478483
2023-06-05,-4.671153,-4.642825
2023-06-06,-4.915228,-4.655899
2023-06-07,-4.655587,-4.822573
2023-06-08,-5.151167,-4.644719
2023-06-09,-4.715828,-4.966514
2023-06-12,-4.662059,-4.686223
2023-06-13,-4.740325,-4.648121
2023-06-14,-4.537738,-4.703324
2023-06-15,-4.842920,-4.557063
2023-06-16,-5.012285,-4.773189
2023-06-20,-4.881365,-4.882401
2023-06-21,-4.663333,-4.798642
2023-06-22,-4.709885,-4.649033
2023-06-23,-4.861315,-4.682050
2023-06-26,-4.807169,-4.785416
2023-06-27,-5.010924,-4.749165
2023-06-28,-4.900019,-4.881554
2023-06-29,-4.342076,-4.810850
2023-06-30,-4.747399,-4.405613
2023-07-03,-4.985746,-4.708232
2023-07-05,-4.954682,-4.865781
2023-07-06,-4.672252,-4.846098
2023-07-07,-5.065536,-4.655404
2023-07-10,-4.938303,-4.915212
2023-07-11,-4.782543,-4.835619
2023-07-12,-4.428398,-4.732416
2023-07-13,-4.884270,-4.473357
2023-07-14,-4.065681,-4.799365
2023-07-17,-4.559783,-4.176727
2023-07-18,-4.930049,-4.572876
2023-07-19,-4.732601,-4.829105
2023-07-20,-5.071799,-4.696944
2023-07-21,-4.848460,-4.917828
2023-07-24,-4.757714,-4.775725
2023-07-25,-4.724183,-4.714319
2023-07-26,-4.831513,-4.691082
2023-07-27,-4.705059,-4.764421
2023-07-28,-5.231680,-4.677697
2023-07-31,-4.889621,-5.012083
2023-08-01,-5.194043,-4.802869
2023-08-02,-4.761773,-4.990425
2023-08-03,-4.933614,-4.717112
2023-08-04,-4.793869,-4.831398
2023-08-07,-4.950713,-4.739043
2023-08-08,-4.483647,-4.842353
2023-08-09,-4.775107,-4.515745
2023-08-10,-4.742257,-4.726256
2023-08-11,-4.966407,-4.703644
2023-08-14,-5.043877,-4.851987
2023-08-15,-4.649863,-4.899570
2023-08-16,-4.824596,-4.640305
2023-08-17,-4.633602,-4.760670
2023-08-18,-4.732842,-4.628656
2023-08-21,-4.817127,-4.698562
2023-08-22,-4.645823,-4.755704
2023-08-23,-4.813068,-4.637418
2023-08-24,-4.585962,-4.752999
2023-08-25,-4.489311,-4.594090
2023-08-28,-4.939350,-4.521978
2023-08-29,-4.898524,-4.834992
2023-08-30,-4.863022,-4.808971
2023-08-31,-4.942042,-4.785967
2023-09-01,-4.984647,-4.836692
2023-09-05,-4.542175,-4.863332
2023-09-06,-4.950109,-4.561748
2023-09-07,-5.043717,-4.841774
2023-09-08,-5.061355,-4.899473
2023-09-11,-4.855879,-4.910090
2023-09-12,-4.733636,-4.781296
2023-09-13,-4.763624,-4.699109
2023-09-14,-4.730257,-4.718299
2023-09-15,-4.839644,-4.695845
2023-09-18,-5.119803,-4.768158
2023-09-19,-4.961515,-4.938570
2023-09-20,-4.773701,-4.844593
2023-09-21,-4.513244,-4.725011
2023-09-22,-4.550704,-4.540954
2023-09-25,-4.597827,-4.568793
2023-09-26,-4.671582,-4.603163
2023-09-27,-4.524136,-4.655489
2023-09-28,-4.571494,-4.549096
2023-09-29,-4.640681,-4.584046
2023-10-02,-4.545035,-4.633784
2023-10-03,-4.624396,-4.564609
2023-10-04,-4.663163,-4.622219
2023-10-05,-4.407676,-4.649607
2023-10-06,-4.437592,-4.460089
2023-10-09,-4.726368,-4.483359
2023-10-10,-4.716536,-4.693205
2023-10-11,-4.673473,-4.686508
2023-10-12,-4.642399,-4.656808
2023-10-13,-3.716556,-4.634999
2023-10-16,-4.331904,-3.848081
2023-10-17,-4.500339,-4.407560
2023-10-18,-4.416535,-4.551932
2023-10-19,-4.342321,-4.484506
2023-10-20,-4.303984,-4.417031
2023-10-23,-4.556210,-4.382175
2023-10-24,-4.745828,-4.568932
2023-10-25,-4.878774,-4.695126
2023-10-26,-4.529273,-4.783694
2023-10-27,-4.368143,-4.553365
2023-10-30,-4.582109,-4.440508
2023-10-31,-4.783922,-4.586064
2023-11-01,-4.570422,-4.720504
2023-11-02,-4.616792,-4.578297
2023-11-03,-4.693017,-4.609163
2023-11-06,-4.864376,-4.659943
2023-11-07,-5.031573,-4.774102
2023-11-08,-4.763367,-4.885488
2023-11-09,-4.702770,-4.706811
2023-11-10,-5.047102,-4.666441
2023-11-13,-4.945960,-4.895834
2023-11-14,-4.738962,-4.828453
2023-11-15,-4.898074,-4.689187
2023-11-16,-4.879413,-4.794849
2023-11-17,-5.077389,-4.782457
2023-11-20,-4.895341,-4.913928
2023-11-21,-5.024264,-4.793034
2023-11-22,-5.202669,-4.878649
2023-11-24,-5.558822,-4.997123
2023-11-27,-5.261510,-5.233635
2023-11-28,-5.100163,-5.036198
2023-11-29,-4.856438,-4.929052
2023-11-30,-4.956418,-4.767200
2023-12-01,-4.928064,-4.833594
2023-12-04,-4.766515,-4.814765
2023-12-05,-4.809864,-4.707484
2023-12-06,-4.884886,-4.736271
2023-12-07,-4.958998,-4.786091
2023-12-08,-5.039291,-4.835308
2023-12-11,-5.099700,-4.888628
2023-12-12,-4.976084,-4.928744
2023-12-13,-4.812809,-4.846654
2023-12-14,-4.503892,-4.738227
2023-12-15,-4.608864,-4.550566
2023-12-18,-4.928934,-4.601082
2023-12-19,-5.027016,-4.815424
2023-12-20,-4.769325,-4.881107
2023-12-21,-4.931621,-4.708539
2023-12-22,-5.251427,-4.817223
2023-12-26,-5.530211,-5.031389
2023-12-27,-5.332298,-5.218083
2023-12-28,-5.370128,-5.085546
2023-12-29,-5.685389,-5.110880
2024-01-02,-5.014219,-5.322001
2024-01-03,-4.862742,-4.872537
2024-01-04,-5.038724,-4.771097
2024-01-05,-4.854554,-4.888947
2024-01-08,-4.666176,-4.765614
2024-01-09,-5.121918,-4.639462
2024-01-10,-4.987074,-4.944660
2024-01-11,-4.847276,-4.854359
2024-01-12,-4.089543,-4.760740
2024-01-16,-4.380017,-4.187481
2024-01-17,-4.678233,-4.450711
2024-01-18,-4.846248,-4.647536
2024-01-19,-4.942414,-4.760051
2024-01-22,-4.964053,-4.827441
2024-01-23,-5.119310,-4.842331
2024-01-24,-5.000860,-4.949166
2024-01-25,-5.025508,-4.867659
2024-01-26,-5.304895,-4.884619
2024-01-29,-5.125683,-5.076870
2024-01-30,-4.870328,-4.953551
2024-01-31,-4.634045,-4.777837
2024-02-01,-4.449410,-4.615247
2024-02-02,-4.694612,-4.513658
2024-02-05,-4.928656,-4.656924
2024-02-06,-4.963571,-4.817974
2024-02-07,-4.899920,-4.841999
2024-02-08,-5.160447,-4.798200
2024-02-09,-5.222069,-4.977473
2024-02-12,-4.780028,-5.019876
2024-02-13,-4.562486,-4.715700
2024-02-14,-4.914360,-4.566085
2024-02-15,-4.707906,-4.808136
2024-02-16,-4.762123,-4.666072
2024-02-20,-4.813164,-4.703380
2024-02-21,-4.869439,-4.738502
2024-02-22,-4.889848,-4.777170
2024-02-23,-4.872457,-4.791109
2024-02-26,-5.068484,-4.779231
2024-02-27,-5.111448,-4.913111
2024-02-28,-5.067009,-4.942453
2024-02-29,-5.035077,-4.912103
2024-03-01,-5.044998,-4.890294
2024-03-04,-4.617541,-4.897070
2024-03-05,-4.745950,-4.605133
2024-03-06,-4.311660,-4.692831
2024-03-07,-4.831980,-4.387500
2024-03-08,-4.558517,-4.751587
2024-03-11,-4.916797,-4.564936
2024-03-12,-4.655973,-4.809514
2024-03-13,-5.047014,-4.631380
2024-03-14,-4.506353,-4.898447
2024-03-15,-4.841234,-4.548254
2024-03-18,-5.139065,-4.757907
2024-03-19,-5.116374,-4.961314
2024-03-20,-4.667710,-4.945818
2024-03-21,-4.889679,-4.639396
2024-03-22,-5.026210,-4.790993
2024-03-25,-4.869935,-4.882936
2024-03-26,-5.124500,-4.778002
2024-03-27,-5.081047,-4.948935
2024-03-28,-4.978550,-4.919758
2024-04-01,-4.824813,-4.850934
2024-04-02,-5.071615,-4.747703
2024-04-03,-5.002873,-4.913424
2024-04-04,-4.741095,-4.867266
2024-04-05,-4.687530,-4.691490
2024-04-08,-5.067240,-4.655522
2024-04-09,-4.564140,-4.910486
