date,actual,arfimax
2023-05-19,-4.485581,-4.320409
2023-05-22,-4.233608,-4.299888
2023-05-23,-4.177653,-4.232323
2023-05-24,-4.335166,-4.132751
2023-05-25,-4.275381,-4.125990
2023-05-26,-4.107947,-4.192566
2023-05-30,-3.865038,-4.188479
2023-05-31,-4.094901,-4.130568
2023-06-01,-4.203881,-4.154814
2023-06-02,-4.240619,-4.340954
2023-06-05,-4.372300,-4.394979
2023-06-06,-4.408601,-4.365519
2023-06-07,-3.932647,-4.456307
2023-06-08,-4.083437,-4.253151
2023-06-09,-4.272759,-4.331755
2023-06-12,-4.473080,-4.362515
2023-06-13,-4.319246,-4.354691
2023-06-14,-4.075670,-4.329789
2023-06-15,-4.370870,-4.302564
2023-06-16,-4.405684,-4.363526
2023-06-20,-4.035794,-4.444556
2023-06-21,-4.271467,-4.280770
2023-06-22,-3.916969,-4.419505
2023-06-23,-3.985027,-4.305841
2023-06-26,-4.138534,-4.291309
2023-06-27,-4.305084,-4.273622
2023-06-28,-4.202502,-4.392885
2023-06-29,-4.629338,-4.374054
2023-06-30,-4.554276,-4.495720
2023-07-03,-4.876037,-4.449492
2023-07-05,-4.704512,-4.560853
2023-07-06,-4.547446,-4.430284
2023-07-07,-4.665381,-4.296758
2023-07-10,-4.228580,-4.411635
2023-07-11,-4.287342,-4.241768
2023-07-12,-4.542548,-4.333415
2023-07-13,-4.539819,-4.489261
2023-07-14,-4.532900,-4.470943
2023-07-17,-4.382868,-4.492273
2023-07-18,-4.377979,-4.435251
2023-07-19,-4.168340,-4.471268
2023-07-20,-4.178797,-4.366507
2023-07-21,-4.161757,-4.353292
2023-07-24,-4.181984,-4.377481
2023-07-25,-4.822384,-4.354342
2023-07-26,-4.046483,-4.558438
2023-07-27,-4.108065,-4.295304
2023-07-28,-4.394554,-4.278497
2023-07-31,-4.568336,-4.474264
2023-08-01,-4.504387,-4.447358
2023-08-02,-4.170101,-4.394412
2023-08-03,-3.936580,-4.130997
2023-08-04,-3.750168,-4.115166
2023-08-07,-4.130273,-4.004031
2023-08-08,-4.283543,-4.255020
2023-08-09,-4.346525,-4.233357
2023-08-10,-4.323024,-4.256542
2023-08-11,-4.251305,-4.243922
2023-08-14,-4.475447,-4.289443
2023-08-15,-4.370089,-4.356927
2023-08-16,-4.127197,-4.162024
2023-08-17,-4.053300,-4.117223
2023-08-18,-4.173083,-4.024148
2023-08-21,-4.465401,-4.140093
2023-08-22,-4.377570,-4.209089
2023-08-23,-4.601170,-4.178776
2023-08-24,-4.173659,-4.361986
2023-08-25,-4.039166,-4.091285
2023-08-28,-4.364712,-4.217425
2023-08-29,-4.450831,-4.332570
2023-08-30,-4.378410,-4.385966
2023-08-31,-4.345766,-4.377849
2023-09-01,-4.425436,-4.411184
2023-09-05,-4.635597,-4.428151
2023-09-06,-4.216150,-4.416318
2023-09-07,-4.226512,-4.233572
2023-09-08,-4.538351,-4.297587
2023-09-11,-4.492047,-4.422090
2023-09-12,-4.516433,-4.370531
2023-09-13,-4.073800,-4.369380
2023-09-14,-4.249012,-4.304798
2023-09-15,-4.342078,-4.417106
2023-09-18,-4.569406,-4.281215
2023-09-19,-4.540683,-4.386631
2023-09-20,-4.417475,-4.350324
2023-09-21,-4.249316,-4.244878
2023-09-22,-4.167776,-4.015441
2023-09-25,-4.164668,-4.130867
2023-09-26,-4.163331,-4.103659
2023-09-27,-3.966989,-3.958760
2023-09-28,-4.075102,-3.992519
2023-09-29,-4.288243,-4.055787
2023-10-02,-3.943977,-4.094801
2023-10-03,-4.162514,-3.981495
2023-10-04,-4.020864,-3.896297
2023-10-05,-4.318205,-3.981219
2023-10-06,-4.317263,-4.039548
2023-10-09,-4.187907,-4.106832
2023-10-10,-4.499405,-4.038245
