date,actual,lstar
2023-04-25,-4.296667,-4.125045
2023-04-26,-3.966859,-4.321021
2023-04-27,-3.983776,-4.026421
2023-04-28,-3.916160,-4.041051
2023-05-01,-4.177246,-3.983070
2023-05-02,-4.187523,-4.212795
2023-05-03,-3.981282,-4.222079
2023-05-04,-4.209672,-4.038889
2023-05-05,-4.641727,-4.242117
2023-05-08,-4.486837,-4.624528
2023-05-09,-4.397805,-4.489127
2023-05-10,-4.077568,-4.410344
2023-05-11,-4.206197,-4.122873
2023-05-12,-4.312169,-4.237889
2023-05-15,-4.146746,-4.333467
2023-05-16,-4.242726,-4.184483
2023-05-17,-4.405178,-4.270822
2023-05-18,-4.220177,-4.416922
2023-05-19,-4.485581,-4.250486
2023-05-22,-4.233608,-4.488027
2023-05-23,-4.177653,-4.262596
2023-05-24,-4.335166,-4.212208
2023-05-25,-4.275381,-4.354177
2023-05-26,-4.107947,-4.300288
2023-05-30,-3.865038,-4.149840
2023-05-31,-4.094901,-3.940201
2023-06-01,-4.203881,-4.138241
2023-06-02,-4.240619,-4.235803
2023-06-05,-4.372300,-4.268920
2023-06-06,-4.408601,-4.387527
2023-06-07,-3.932647,-4.419975
2023-06-08,-4.083437,-3.996946
2023-06-09,-4.272759,-4.127673
2023-06-12,-4.473080,-4.295195
2023-06-13,-4.319246,-4.472432
2023-06-14,-4.075670,-4.336593
2023-06-15,-4.370870,-4.120890
2023-06-16,-4.405684,-4.382463
2023-06-20,-4.035794,-4.413268
2023-06-21,-4.271467,-4.086240
2023-06-22,-3.916969,-4.294045
2023-06-23,-3.985027,-3.985066
2023-06-26,-4.138534,-4.042597
2023-06-27,-4.305084,-4.176054
2023-06-28,-4.202502,-4.323986
2023-06-29,-4.629338,-4.232683
2023-06-30,-4.554276,-4.605546
2023-07-03,-4.876037,-4.542479
2023-07-05,-4.704512,-4.794979
2023-07-06,-4.547446,-4.666568
2023-07-07,-4.665381,-4.536652
2023-07-10,-4.228580,-4.635102
2023-07-11,-4.287342,-4.255863
2023-07-12,-4.542548,-4.308185
2023-07-13,-4.539819,-4.534786
2023-07-14,-4.532900,-4.532446
2023-07-17,-4.382868,-4.526501
2023-07-18,-4.377979,-4.394346
2023-07-19,-4.168340,-4.389966
2023-07-20,-4.178797,-4.201604
2023-07-21,-4.161757,-4.210939
2023-07-24,-4.181984,-4.195736
2023-07-25,-4.822384,-4.213787
2023-07-26,-4.046483,-4.753931
2023-07-27,-4.108065,-4.094244
2023-07-28,-4.394554,-4.148133
2023-07-31,-4.568336,-4.404803
2023-08-01,-4.504387,-4.556754
2023-08-02,-4.170101,-4.501834
2023-08-03,-3.936580,-4.203175
2023-08-04,-3.750168,-4.000506
2023-08-07,-4.130273,-3.850614
2023-08-08,-4.283543,-4.167762
2023-08-09,-4.346525,-4.305019
2023-08-10,-4.323024,-4.361730
2023-08-11,-4.251305,-4.340584
2023-08-14,-4.475447,-4.276879
2023-08-15,-4.370089,-4.457274
2023-08-16,-4.127197,-4.372479
2023-08-17,-4.053300,-4.176995
2023-08-18,-4.173083,-4.117522
2023-08-21,-4.465401,-4.213925
2023-08-22,-4.377570,-4.449188
2023-08-23,-4.601170,-4.378500
2023-08-24,-4.173659,-4.558458
2023-08-25,-4.039166,-4.214388
2023-08-28,-4.364712,-4.106146
2023-08-29,-4.450831,-4.368152
2023-08-30,-4.378410,-4.437462
2023-08-31,-4.345766,-4.379176
2023-09-01,-4.425436,-4.352903
2023-09-05,-4.635597,-4.417023
2023-09-06,-4.216150,-4.586165
2023-09-07,-4.226512,-4.248586
2023-09-08,-4.538351,-4.256926
2023-09-11,-4.492047,-4.507900
2023-09-12,-4.516433,-4.470633
2023-09-13,-4.073800,-4.490260
2023-09-14,-4.249012,-4.133325
2023-09-15,-4.342078,-4.273337
