date,actual,arfimax
2023-02-08,-4.518050,-4.596016
2023-02-09,-4.682647,-4.578144
2023-02-10,-4.727879,-4.573869
2023-02-13,-4.860139,-4.603337
2023-02-14,-4.481869,-4.659817
2023-02-15,-4.766177,-4.618408
2023-02-16,-4.768774,-4.732950
2023-02-17,-4.616005,-4.607088
2023-02-21,-4.652274,-4.615691
2023-02-22,-4.707154,-4.475631
2023-02-23,-4.596800,-4.555244
2023-02-24,-4.490263,-4.576345
2023-02-27,-4.901105,-4.495053
2023-02-28,-4.915714,-4.667997
2023-03-01,-4.660878,-4.686899
2023-03-02,-4.281439,-4.609349
2023-03-03,-4.995218,-4.568968
2023-03-06,-4.949751,-4.836898
2023-03-07,-4.330334,-4.776355
2023-03-08,-4.538398,-4.554790
2023-03-09,-4.022022,-4.637058
2023-03-10,-3.498248,-4.293304
2023-03-13,-3.434819,-4.127007
2023-03-14,-3.905881,-4.041601
2023-03-15,-3.934310,-4.309725
2023-03-16,-3.854514,-4.182304
2023-03-17,-4.136367,-4.297107
2023-03-20,-4.176375,-4.201861
2023-03-21,-4.446092,-4.337932
2023-03-22,-4.261692,-4.508889
2023-03-23,-4.289539,-4.385942
2023-03-24,-4.165846,-4.427528
2023-03-27,-4.199439,-4.432526
2023-03-28,-4.492148,-4.470560
2023-03-29,-4.446423,-4.574323
2023-03-30,-4.409484,-4.596338
2023-03-31,-4.995260,-4.587660
2023-04-03,-4.511605,-4.792265
2023-04-04,-4.537379,-4.628731
2023-04-05,-4.386038,-4.598275
2023-04-06,-4.900351,-4.570347
2023-04-10,-4.684586,-4.750368
2023-04-11,-4.992272,-4.657199
2023-04-12,-4.596638,-4.740891
2023-04-13,-4.788800,-4.610594
2023-04-14,-4.027789,-4.768967
2023-04-17,-4.360135,-4.565586
2023-04-18,-4.688512,-4.671044
2023-04-19,-4.846216,-4.732536
2023-04-20,-4.848922,-4.800081
2023-04-21,-4.698583,-4.743468
2023-04-24,-5.000556,-4.749885
2023-04-25,-4.721959,-4.842023
2023-04-26,-4.441447,-4.654211
2023-04-27,-4.730653,-4.601525
2023-04-28,-4.666987,-4.792154
2023-05-01,-4.275632,-4.801658
2023-05-02,-4.213557,-4.644490
2023-05-03,-4.576588,-4.529981
2023-05-04,-4.104600,-4.622970
2023-05-05,-4.330812,-4.379380
2023-05-08,-4.583136,-4.641596
2023-05-09,-4.717424,-4.660565
2023-05-10,-4.605617,-4.655565
2023-05-11,-4.479638,-4.681803
2023-05-12,-4.616280,-4.643914
2023-05-15,-4.762251,-4.672446
2023-05-16,-4.651502,-4.691295
2023-05-17,-4.484584,-4.609709
2023-05-18,-4.647724,-4.664793
2023-05-19,-4.420679,-4.734821
2023-05-22,-4.374240,-4.583628
2023-05-23,-4.413673,-4.569460
2023-05-24,-4.582740,-4.501321
2023-05-25,-4.725750,-4.476359
2023-05-26,-4.764391,-4.583429
2023-05-30,-4.499998,-4.660982
2023-05-31,-4.404323,-4.632769
2023-06-01,-4.433777,-4.560982
2023-06-02,-4.652958,-4.708708
2023-06-05,-4.671153,-4.807955
2023-06-06,-4.915228,-4.763361
2023-06-07,-4.655587,-4.892446
2023-06-08,-5.151167,-4.791089
2023-06-09,-4.715828,-4.960938
2023-06-12,-4.662059,-4.823778
2023-06-13,-4.740325,-4.734256
2023-06-14,-4.537738,-4.776785
2023-06-15,-4.842920,-4.770853
2023-06-16,-5.012285,-4.813822
2023-06-20,-4.881365,-4.938896
2023-06-21,-4.663333,-4.867035
2023-06-22,-4.709885,-4.867841
2023-06-23,-4.861315,-4.885097
2023-06-26,-4.807169,-4.878053
2023-06-27,-5.010924,-4.808738
2023-06-28,-4.900019,-4.912424
2023-06-29,-4.342076,-4.915938
2023-06-30,-4.747399,-4.727589
2023-07-03,-4.985746,-4.831147
2023-07-05,-4.954682,-4.888990
2023-07-06,-4.672252,-4.834588
2023-07-07,-5.065536,-4.673061
2023-07-10,-4.938303,-4.847292
2023-07-11,-4.782543,-4.800995
2023-07-12,-4.428398,-4.785707
2023-07-13,-4.884270,-4.787419
2023-07-14,-4.065681,-4.889012
2023-07-17,-4.559783,-4.662491
2023-07-18,-4.930049,-4.768266
2023-07-19,-4.732601,-4.872049
2023-07-20,-5.071799,-4.800699
2023-07-21,-4.848460,-4.887315
2023-07-24,-4.757714,-4.870547
2023-07-25,-4.724183,-4.829070
2023-07-26,-4.831513,-4.807547
2023-07-27,-4.705059,-4.883469
2023-07-28,-5.231680,-4.737499
2023-07-31,-4.889621,-4.997869
2023-08-01,-5.194043,-4.874071
2023-08-02,-4.761773,-4.931054
2023-08-03,-4.933614,-4.673736
2023-08-04,-4.793869,-4.746476
