date,actual,enn,jnn
2023-04-04,-4.191786,-4.206800,-4.396924
2023-04-05,-4.349456,-4.202325,-4.282174
2023-04-06,-4.390240,-4.200594,-4.307964
2023-04-10,-4.386770,-4.203342,-4.375971
2023-04-11,-4.560682,-4.203255,-4.411386
2023-04-12,-4.156348,-4.212103,-4.527176
2023-04-13,-4.290924,-4.193104,-4.315403
2023-04-14,-4.020344,-4.197437,-4.303512
2023-04-17,-4.518544,-4.186604,-4.106439
2023-04-18,-4.378378,-4.208240,-4.370857
2023-04-19,-4.280105,-4.203557,-4.395509
2023-04-20,-4.322268,-4.197924,-4.362151
2023-04-21,-4.279240,-4.199607,-4.337456
2023-04-24,-4.079377,-4.197814,-4.306843
2023-04-25,-4.296667,-4.188811,-4.165669
2023-04-26,-3.966859,-4.197544,-4.241107
2023-04-27,-3.983776,-4.184635,-4.063818
2023-04-28,-3.916160,-4.183791,-4.012943
2023-05-01,-4.177246,-4.181574,-3.944127
2023-05-02,-4.187523,-4.191517,-4.083262
2023-05-03,-3.981282,-4.193169,-4.149254
2023-05-04,-4.209672,-4.184684,-4.054943
2023-05-05,-4.641727,-4.193161,-4.143180
2023-05-08,-4.486837,-4.215734,-4.462777
2023-05-09,-4.397805,-4.202703,-4.530179
2023-05-10,-4.077568,-4.197272,-4.487935
2023-05-11,-4.206197,-4.182408,-4.219923
2023-05-12,-4.312169,-4.186629,-4.191855
2023-05-15,-4.146746,-4.192253,-4.257057
2023-05-16,-4.242726,-4.185169,-4.196846
2023-05-17,-4.405178,-4.188635,-4.225581
2023-05-18,-4.220177,-4.196900,-4.341972
2023-05-19,-4.485581,-4.188769,-4.282964
2023-05-22,-4.233608,-4.200692,-4.428514
2023-05-23,-4.177653,-4.189714,-4.314703
2023-05-24,-4.335166,-4.185989,-4.235349
2023-05-25,-4.275381,-4.193143,-4.286572
2023-05-26,-4.107947,-4.191050,-4.287968
2023-05-30,-3.865038,-4.183292,-4.178542
2023-05-31,-4.094901,-4.173544,-3.970647
2023-06-01,-4.203881,-4.181102,-4.030103
2023-06-02,-4.240619,-4.186847,-4.127676
2023-06-05,-4.372300,-4.188911,-4.210281
2023-06-06,-4.408601,-4.195245,-4.327647
2023-06-07,-3.932647,-4.197608,-4.401081
2023-06-08,-4.083437,-4.176956,-4.109040
2023-06-09,-4.272759,-4.174876,-4.065499
2023-06-12,-4.473080,-4.183928,-4.171354
2023-06-13,-4.319246,-4.194424,-4.389070
2023-06-14,-4.075670,-4.187628,-4.380312
2023-06-15,-4.370870,-4.176105,-4.188515
2023-06-16,-4.405684,-4.188346,-4.289509
2023-06-20,-4.035794,-4.191505,-4.374021
2023-06-21,-4.271467,-4.174919,-4.173206
2023-06-22,-3.916969,-4.183429,-4.220479
2023-06-23,-3.985027,-4.170220,-4.007423
2023-06-26,-4.138534,-4.171107,-3.987201
2023-06-27,-4.305084,-4.177591,-4.058571
2023-06-28,-4.202502,-4.185661,-4.215221
2023-06-29,-4.629338,-4.181653,-4.218571
2023-06-30,-4.554276,-4.202009,-4.505551
2023-07-03,-4.876037,-4.200027,-4.573970
2023-07-05,-4.704512,-4.216212,-4.771018
2023-07-06,-4.547446,-4.208500,-4.740698
2023-07-07,-4.665381,-4.199453,-4.654954
2023-07-10,-4.228580,-4.205146,-4.675469
2023-07-11,-4.287342,-4.183884,-4.415789
2023-07-12,-4.542548,-4.184814,-4.336634
2023-07-13,-4.539819,-4.188906,-4.467236
2023-07-14,-4.532900,-4.189856,-4.555510
2023-07-17,-4.382868,-4.189301,-4.583644
2023-07-18,-4.377979,-4.181549,-4.487288
2023-07-19,-4.168340,-4.180692,-4.437487
2023-07-20,-4.178797,-4.170859,-4.261616
2023-07-21,-4.161757,-4.170448,-4.194580
2023-07-24,-4.181984,-4.169871,-4.151782
2023-07-25,-4.822384,-4.170684,-4.161937
2023-07-26,-4.046483,-4.203237,-4.595774
2023-07-27,-4.108065,-4.167224,-4.280652
2023-07-28,-4.394554,-4.166509,-4.167746
2023-07-31,-4.568336,-4.180557,-4.274220
2023-08-01,-4.504387,-4.190816,-4.500073
2023-08-02,-4.170101,-4.188033,-4.555703
2023-08-03,-3.936580,-4.171270,-4.333918
2023-08-04,-3.750168,-4.160556,-4.050002
2023-08-07,-4.130273,-4.153768,-3.855656
2023-08-08,-4.283543,-4.166690,-4.003045
2023-08-09,-4.346525,-4.175349,-4.167676
2023-08-10,-4.323024,-4.178963,-4.312550
2023-08-11,-4.251305,-4.178007,-4.344999
2023-08-14,-4.475447,-4.165984,-4.307275
2023-08-15,-4.370089,-4.176990,-4.431131
2023-08-16,-4.127197,-4.172583,-4.422040
2023-08-17,-4.053300,-4.160350,-4.255805
2023-08-18,-4.173083,-4.156246,-4.109364
2023-08-21,-4.465401,-4.161251,-4.131682
2023-08-22,-4.377570,-4.176221,-4.356860
2023-08-23,-4.601170,-4.172969,-4.411749
2023-08-24,-4.173659,-4.184194,-4.567153
2023-08-25,-4.039166,-4.163401,-4.344437
2023-08-28,-4.364712,-4.155675,-4.148046
2023-08-29,-4.450831,-4.170342,-4.264295
2023-08-30,-4.378410,-4.176380,-4.407211
2023-08-31,-4.345766,-4.172829,-4.437095
2023-09-01,-4.425436,-4.170796,-4.405746
2023-09-05,-4.635597,-4.174780,-4.437447
2023-09-06,-4.216150,-4.186354,-4.584223
2023-09-07,-4.226512,-4.165473,-4.389530
2023-09-08,-4.538351,-4.164110,-4.297376
2023-09-11,-4.492047,-4.180263,-4.446818
2023-09-12,-4.516433,-4.179216,-4.514738
2023-09-13,-4.073800,-4.180103,-4.557300
2023-09-14,-4.249012,-4.154188,-4.263581
2023-09-15,-4.342078,-4.160251,-4.243382
2023-09-18,-4.569406,-4.165832,-4.297753
2023-09-19,-4.540683,-4.177911,-4.514752
2023-09-20,-4.417475,-4.177300,-4.573844
2023-09-21,-4.249316,-4.170561,-4.518500
2023-09-22,-4.167776,-4.161724,-4.367358
2023-09-25,-4.164668,-4.157345,-4.231196
2023-09-26,-4.163331,-4.156971,-4.170516
2023-09-27,-3.966989,-4.156944,-4.154506
2023-09-28,-4.075102,-4.148784,-4.018381
2023-09-29,-4.288243,-4.152258,-4.031302
2023-10-02,-3.943977,-4.162431,-4.183038
2023-10-03,-4.162514,-4.148459,-4.028507
2023-10-04,-4.020864,-4.155853,-4.101118
2023-10-05,-4.318205,-4.150990,-4.022196
2023-10-06,-4.317263,-4.163550,-4.216494
2023-10-09,-4.187907,-4.164939,-4.295376
2023-10-10,-4.499405,-4.158617,-4.253247
