date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-10-19,-4.337105,-3.870767,-3.883818,-3.911555,-3.947265,-3.903366,-3.886971,-3.982829
2022-10-20,-4.111924,-4.337105,-4.142890,-4.136021,-4.187454,-4.176966,-4.220999,-4.139780
2022-10-21,-3.831574,-4.111924,-4.167005,-4.067489,-4.117992,-4.137044,-4.201058,-4.150170
2022-10-24,-4.315725,-3.831574,-4.015880,-3.976359,-3.980413,-4.022004,-4.041212,-4.005660
2022-10-25,-4.397478,-4.315725,-4.241654,-4.219193,-4.202243,-4.176251,-4.216172,-4.206100
2022-10-26,-4.347598,-4.397478,-4.320046,-4.292155,-4.276131,-4.291250,-4.354307,-4.260544
2022-10-27,-4.394923,-4.347598,-4.325639,-4.273585,-4.278143,-4.360558,-4.388212,-4.304989
2022-10-28,-4.540288,-4.394923,-4.397611,-4.316070,-4.314174,-4.389752,-4.412003,-4.344477
2022-10-31,-4.300798,-4.540288,-4.483910,-4.431514,-4.401025,-4.482195,-4.496628,-4.401503
2022-11-01,-4.420766,-4.300798,-4.386320,-4.324361,-4.301811,-4.393759,-4.409510,-4.355576
2022-11-02,-3.784245,-4.420766,-4.423640,-4.381769,-4.356008,-4.419671,-4.432623,-4.377640
2022-11-03,-4.024457,-3.784245,-4.112101,-4.054854,-4.040744,-4.094050,-4.085323,-4.134702
2022-11-04,-4.273557,-4.024457,-4.107637,-4.137819,-4.112541,-4.048371,-4.049614,-4.102792
2022-11-07,-4.649318,-4.273557,-4.231194,-4.233812,-4.228107,-4.128064,-4.171008,-4.219579
2022-11-08,-4.397931,-4.649318,-4.426356,-4.429275,-4.435065,-4.443215,-4.485826,-4.381354
2022-11-09,-4.371237,-4.397931,-4.411454,-4.314744,-4.348362,-4.461256,-4.473450,-4.408395
2022-11-10,-4.466458,-4.371237,-4.412400,-4.341716,-4.340764,-4.442522,-4.444203,-4.343025
2022-11-11,-4.335041,-4.466458,-4.472026,-4.416393,-4.389589,-4.440585,-4.457129,-4.399861
2022-11-14,-4.560418,-4.335041,-4.393557,-4.361870,-4.332384,-4.385989,-4.406296,-4.352442
2022-11-15,-4.177600,-4.560418,-4.491569,-4.465852,-4.443138,-4.499411,-4.507309,-4.461764
2022-11-16,-4.631625,-4.177600,-4.333289,-4.283186,-4.267095,-4.318309,-4.340056,-4.333002
2022-11-17,-4.634741,-4.631625,-4.503918,-4.510809,-4.475451,-4.510026,-4.518284,-4.446359
2022-11-18,-4.532958,-4.634741,-4.575073,-4.528469,-4.502863,-4.576706,-4.582797,-4.559752
2022-11-21,-4.875118,-4.532958,-4.525919,-4.496298,-4.470405,-4.606275,-4.583433,-4.515244
2022-11-22,-4.962302,-4.875118,-4.728737,-4.677407,-4.646025,-4.754660,-4.729832,-4.674191
2022-11-23,-4.972600,-4.962302,-4.825546,-4.775775,-4.723937,-4.853537,-4.826681,-4.796092
2022-11-25,-5.313926,-4.972600,-4.867167,-4.807494,-4.760626,-4.913180,-4.877171,-4.834815
