date,actual,lstar
2023-03-21,-4.686725,-4.429384
2023-03-22,-4.127116,-4.625462
2023-03-23,-4.358353,-4.211043
2023-03-24,-4.420801,-4.382232
2023-03-27,-4.669960,-4.428464
2023-03-28,-4.769360,-4.612944
2023-03-29,-4.962227,-4.755098
2023-03-30,-4.978251,-4.876437
2023-03-31,-4.962414,-4.885868
2023-04-03,-4.822303,-4.876547
2023-04-04,-4.732625,-4.794058
2023-04-05,-4.627570,-4.671973
2023-04-06,-4.824070,-4.578408
2023-04-10,-4.698555,-4.794200
2023-04-11,-4.914118,-4.631167
2023-04-12,-4.495120,-4.847734
2023-04-13,-4.825988,-4.480884
2023-04-14,-4.549238,-4.795344
2023-04-17,-5.065563,-4.520731
2023-04-18,-4.690548,-4.937732
2023-04-19,-4.917491,-4.624993
2023-04-20,-4.740261,-4.849739
2023-04-21,-4.791443,-4.687306
2023-04-24,-4.863316,-4.774087
2023-04-25,-4.738873,-4.817544
2023-04-26,-4.667666,-4.683803
2023-04-27,-4.861263,-4.607950
2023-04-28,-4.608529,-4.816324
2023-05-01,-4.825571,-4.564387
2023-05-02,-4.757845,-4.795095
2023-05-03,-4.599002,-4.734223
2023-05-04,-4.463287,-4.557373
2023-05-05,-4.386852,-4.457445
2023-05-08,-4.645395,-4.401166
2023-05-09,-5.147866,-4.594973
2023-05-10,-4.594149,-4.975405
2023-05-11,-4.715759,-4.556980
2023-05-12,-4.903965,-4.650424
2023-05-15,-5.146132,-4.833527
2023-05-16,-5.048370,-4.974396
2023-05-17,-4.800502,-4.917528
2023-05-18,-4.622775,-4.773173
2023-05-19,-4.814924,-4.578202
2023-05-22,-4.911888,-4.781697
2023-05-23,-4.929644,-4.838136
2023-05-24,-4.796348,-4.848464
2023-05-25,-4.664234,-4.770661
2023-05-26,-4.909918,-4.608953
2023-05-30,-4.506132,-4.836990
2023-05-31,-4.345500,-4.491728
2023-06-01,-4.769240,-4.372644
2023-06-02,-4.498389,-4.750402
2023-06-05,-3.717364,-4.485988
2023-06-06,-4.477767,-3.906975
2023-06-07,-4.598563,-4.470700
2023-06-08,-4.915558,-4.560252
2023-06-09,-4.690330,-4.834067
2023-06-12,-5.055915,-4.630881
2023-06-13,-4.901410,-4.908093
2023-06-14,-4.542420,-4.826605
2023-06-15,-4.999631,-4.520842
2023-06-16,-5.077301,-4.878408
2023-06-20,-4.916949,-4.919372
2023-06-21,-4.788681,-4.834800
2023-06-22,-4.822119,-4.766229
2023-06-23,-4.876759,-4.784764
2023-06-26,-4.819625,-4.813604
2023-06-27,-5.096421,-4.783442
2023-06-28,-4.703660,-4.929457
2023-06-29,-4.976646,-4.641198
2023-06-30,-4.930129,-4.866286
2023-07-03,-5.299263,-4.841752
2023-07-05,-4.764149,-5.036438
2023-07-06,-4.950060,-4.742265
2023-07-07,-4.912954,-4.852264
2023-07-10,-4.562941,-4.832693
2023-07-11,-4.676587,-4.536090
2023-07-12,-4.661247,-4.620566
2023-07-13,-5.027043,-4.611562
2023-07-14,-4.996940,-4.878895
2023-07-17,-5.053129,-4.866037
2023-07-18,-5.015006,-4.890038
2023-07-19,-4.046598,-4.873754
2023-07-20,-4.595635,-4.152860
2023-07-21,-4.775119,-4.562592
2023-07-24,-4.755327,-4.765850
2023-07-25,-5.168517,-4.729654
2023-07-26,-4.546114,-4.939324
2023-07-27,-4.637789,-4.525636
2023-07-28,-4.761511,-4.594051
2023-07-31,-5.008043,-4.744932
2023-08-01,-5.092959,-4.870780
2023-08-02,-4.722949,-4.907050
2023-08-03,-4.710877,-4.661196
2023-08-04,-3.931071,-4.649615
2023-08-07,-4.377542,-4.066644
2023-08-08,-4.526267,-4.399835
2023-08-09,-4.588048,-4.510824
2023-08-10,-4.567265,-4.556930
2023-08-11,-4.695315,-4.541421
2023-08-14,-4.749663,-4.637562
2023-08-15,-4.938892,-4.723987
2023-08-16,-4.643613,-4.833403
2023-08-17,-4.436068,-4.598744
2023-08-18,-4.681993,-4.444079
2023-08-21,-4.751814,-4.627413
2023-08-22,-4.865817,-4.730165
2023-08-23,-4.920323,-4.806552
2023-08-24,-4.729648,-4.826580
2023-08-25,-4.353502,-4.673249
2023-08-28,-4.795275,-4.382550
2023-08-29,-4.675856,-4.780263
2023-08-30,-4.617992,-4.622806
2023-08-31,-4.825037,-4.579650
2023-09-01,-4.855851,-4.791556
2023-09-05,-4.871556,-4.802890
2023-09-06,-4.191124,-4.808661
2023-09-07,-4.105788,-4.261544
2023-09-08,-4.434131,-4.197951
2023-09-11,-4.477272,-4.442635
2023-09-12,-4.128352,-4.474785
2023-09-13,-4.507203,-4.214766
2023-09-14,-4.578171,-4.495948
2023-09-15,-4.973958,-4.548649
2023-09-18,-4.861605,-4.839782
2023-09-19,-4.910938,-4.799757
2023-09-20,-4.505696,-4.817332
2023-09-21,-4.536782,-4.494829
2023-09-22,-4.676145,-4.517914
2023-09-25,-4.603486,-4.621450
2023-09-26,-4.573588,-4.567448
2023-09-27,-4.422248,-4.545246
2023-09-28,-4.291111,-4.432860
2023-09-29,-4.604885,-4.335477
2023-10-02,-4.410261,-4.568487
2023-10-03,-4.495744,-4.423958
2023-10-04,-4.561994,-4.487438
2023-10-05,-4.645138,-4.536636
2023-10-06,-4.591781,-4.598381
2023-10-09,-4.699524,-4.558756
2023-10-10,-4.803920,-4.639333
2023-10-11,-4.710587,-4.779113
2023-10-12,-4.599950,-4.648835
2023-10-13,-4.681222,-4.564822
2023-10-16,-4.646604,-4.627161
2023-10-17,-4.555920,-4.601236
2023-10-18,-4.426943,-4.533501
2023-10-19,-4.225464,-4.437167
2023-10-20,-4.594785,-4.286679
2023-10-23,-4.373162,-4.562530
2023-10-24,-4.576629,-4.396997
2023-10-25,-4.543177,-4.548969
2023-10-26,-4.104307,-4.523983
2023-10-27,-4.264186,-4.196186
2023-10-30,-4.475071,-4.315602
2023-10-31,-4.510604,-4.473114
2023-11-01,-4.454972,-4.499655
2023-11-02,-4.697845,-4.458102
2023-11-03,-4.190053,-4.639936
2023-11-06,-4.639768,-4.260230
2023-11-07,-4.753126,-4.596130
2023-11-08,-4.908413,-4.734818
2023-11-09,-4.588709,-4.814635
2023-11-10,-4.921968,-4.557992
2023-11-13,-5.030550,-4.819517
2023-11-14,-4.906249,-4.858623
2023-11-15,-5.010249,-4.810735
2023-11-16,-4.746424,-4.851059
2023-11-17,-4.904330,-4.715071
2023-11-20,-5.050335,-4.809991
2023-11-21,-5.121862,-4.866602
2023-11-22,-4.758367,-4.894336
2023-11-24,-5.502282,-4.741061
2023-11-27,-5.111829,-5.041838
2023-11-28,-5.227049,-4.890445
2023-11-29,-5.177046,-4.935120
2023-11-30,-4.792368,-4.915732
2023-12-01,-4.860625,-4.766322
2023-12-04,-4.907376,-4.793045
2023-12-05,-4.318768,-4.811172
2023-12-06,-4.835444,-4.355652
2023-12-07,-4.992279,-4.783280
2023-12-08,-4.988732,-4.844092
2023-12-11,-5.062213,-4.842717
2023-12-12,-5.034624,-4.871208
2023-12-13,-4.750276,-4.860510
2023-12-14,-4.716662,-4.724809
2023-12-15,-4.905662,-4.655940
2023-12-18,-4.885436,-4.817485
2023-12-19,-5.094502,-4.809590
2023-12-20,-4.970048,-4.891190
2023-12-21,-4.742429,-4.842615
2023-12-22,-5.223186,-4.708752
2023-12-26,-5.343213,-4.941417
2023-12-27,-4.984318,-4.988264
2023-12-28,-5.174752,-4.848185
2023-12-29,-5.280186,-4.922513
2024-01-02,-4.412468,-4.963664
2024-01-03,-4.794869,-4.423270
2024-01-04,-4.666626,-4.774045
2024-01-05,-4.507004,-4.612103
2024-01-08,-4.598625,-4.493501
2024-01-09,-4.730401,-4.561566
2024-01-10,-4.789721,-4.676211
2024-01-11,-4.428851,-4.771870
2024-01-12,-5.037349,-4.435441
2024-01-16,-4.512725,-4.868883
2024-01-17,-4.747904,-4.497751
2024-01-18,-4.566597,-4.724603
2024-01-19,-4.848564,-4.537773
2024-01-22,-4.531619,-4.795411
2024-01-23,-5.223170,-4.511662
2024-01-24,-4.861473,-4.943325
2024-01-25,-4.722425,-4.800509
2024-01-26,-4.939553,-4.664331
2024-01-29,-4.675485,-4.831338
2024-01-30,-4.605318,-4.618693
2024-01-31,-4.426333,-4.566455
2024-02-01,-4.658010,-4.433386
2024-02-02,-4.062286,-4.605640
2024-02-05,-4.360758,-4.162729
2024-02-06,-4.754361,-4.384633
2024-02-07,-4.869705,-4.744550
2024-02-08,-5.080555,-4.803759
2024-02-09,-5.130639,-4.887013
2024-02-12,-4.979472,-4.906789
2024-02-13,-4.777463,-4.847100
2024-02-14,-4.750982,-4.766268
2024-02-15,-4.482357,-4.738045
2024-02-16,-4.469275,-4.475037
2024-02-20,-4.577037,-4.465311
2024-02-21,-5.042214,-4.545428
2024-02-22,-5.009192,-4.864024
2024-02-23,-4.936102,-4.851536
2024-02-26,-5.024062,-4.823894
2024-02-27,-4.441185,-4.857160
2024-02-28,-4.875928,-4.445794
2024-02-29,-4.670717,-4.801138
2024-03-01,-4.762197,-4.616842
2024-03-04,-4.525218,-4.751122
2024-03-05,-4.650248,-4.508404
2024-03-06,-4.533796,-4.601564
2024-03-07,-4.535580,-4.514796
2024-03-08,-4.247900,-4.516125
2024-03-11,-4.604093,-4.301782
2024-03-12,-4.303814,-4.567172
2024-03-13,-4.819543,-4.343442
2024-03-14,-4.473920,-4.779806
2024-03-15,-4.681642,-4.470184
2024-03-18,-4.408464,-4.625051
2024-03-19,-4.717772,-4.421414
2024-03-20,-4.676439,-4.656900
2024-03-21,-4.284583,-4.621131
2024-03-22,-4.631412,-4.329114
2024-03-25,-4.809462,-4.586132
2024-03-26,-5.032013,-4.768628
2024-03-27,-4.634650,-4.858439
2024-03-28,-4.954622,-4.588534
2024-04-01,-5.236860,-4.827216
2024-04-02,-5.057593,-4.941082
2024-04-03,-4.743579,-4.868759
2024-04-04,-4.668432,-4.706415
2024-04-05,-5.037232,-4.613616
2024-04-08,-5.291184,-4.860544
2024-04-09,-4.469718,-4.962998
2024-04-10,-4.552451,-4.466167
2024-04-11,-4.528435,-4.527548
2024-04-12,-4.262087,-4.509730
2024-04-15,-4.187808,-4.312122
2024-04-16,-4.091516,-4.257013
2024-04-17,-4.550184,-4.185572
2024-04-18,-4.720628,-4.525866
2024-04-19,-4.691420,-4.657894
2024-04-22,-4.691265,-4.630886
2024-04-23,-4.699454,-4.630767
2024-04-24,-4.461533,-4.637182
2024-04-25,-4.512664,-4.459459
2024-04-26,-4.740854,-4.497338
2024-04-29,-4.405924,-4.694781
2024-04-30,-4.148359,-4.418263
2024-05-01,-4.288056,-4.227456
2024-05-02,-4.532525,-4.330945
2024-05-03,-4.253337,-4.512051
2024-05-06,-4.460819,-4.305225
2024-05-07,-4.462301,-4.458930
2024-05-08,-5.093011,-4.460028
2024-05-09,-4.966842,-4.867129
2024-05-10,-5.004870,-4.824683
2024-05-13,-4.946928,-4.837476
2024-05-14,-4.803694,-4.817983
2024-05-15,-5.023944,-4.769722
2024-05-16,-5.083744,-4.843893
2024-05-17,-5.409401,-4.864012
2024-05-20,-5.042344,-4.973570
2024-05-21,-5.314669,-4.850083
2024-05-22,-4.961732,-4.941700
2024-05-23,-4.587664,-4.822964
2024-05-24,-4.908544,-4.552898
2024-05-28,-4.427544,-4.806407
2024-05-29,-4.741930,-4.435634
2024-05-30,-4.789593,-4.695718
2024-05-31,-4.741542,-4.765557
2024-06-03,-4.627258,-4.694679
2024-06-04,-4.771967,-4.583799
2024-06-05,-4.763652,-4.756077
2024-06-06,-4.809162,-4.747201
2024-06-07,-4.801703,-4.772638
2024-06-10,-3.877664,-4.770041
2024-06-11,-3.991350,-4.027687
2024-06-12,-3.725234,-4.112029
