panel,model_1,model_2,alpha_1,alpha_2,p_value_1,verdict
JPM,HAR,ARFIMA,-0.3701,1.3243,0.3469,model_2_encompasses_1
JPM,HAR,FNN,0.8011,0.1835,0.0000,model_1_encompasses_2
JPM,HAR,LSTM,0.7232,0.2378,0.0000,model_1_encompasses_2
JPM,HAR,NAR,0.8402,0.1061,0.0000,model_1_encompasses_2
JPM,ARFIMA,RW,0.9860,-0.0252,0.0000,model_1_encompasses_2
JPM,ARFIMA,AR,1.0656,-0.1112,0.0000,model_1_encompasses_2
JPM,ARFIMA,HAR,1.3243,-0.3701,0.0008,model_1_encompasses_2
JPM,ARFIMA,FNN,0.8444,0.1387,0.0000,model_1_encompasses_2
JPM,ARFIMA,LSTM,0.9108,0.0465,0.0000,model_1_encompasses_2
JPM,ARFIMA,NAR,1.1736,-0.2200,0.0000,model_1_encompasses_2
JPM,FNN,RW,0.4070,0.4641,0.0000,mixed
JPM,FNN,AR,0.2147,0.7641,0.0044,model_2_encompasses_1
JPM,FNN,HAR,0.1835,0.8011,0.0202,model_2_encompasses_1
JPM,FNN,ARFIMA,0.1387,0.8444,0.0804,model_2_encompasses_1
JPM,FNN,LSTM,0.2022,0.8070,0.0107,model_2_encompasses_1
JPM,FNN,NAR,0.2010,0.7753,0.0141,model_2_encompasses_1
JPM,LSTM,RW,0.7724,0.1566,0.0000,model_1_encompasses_2
JPM,LSTM,AR,0.2581,0.6888,0.2617,model_2_dominant
JPM,LSTM,HAR,0.2378,0.7232,0.1449,model_2_encompasses_1
JPM,LSTM,ARFIMA,0.0465,0.9108,0.7943,model_2_encompasses_1
JPM,LSTM,FNN,0.8070,0.2022,0.0000,model_1_encompasses_2
JPM,LSTM,NAR,0.3899,0.5685,0.0364,mixed
JPM,NAR,RW,0.7660,0.1360,0.0000,model_1_encompasses_2
JPM,NAR,AR,0.4088,0.5285,0.0666,model_2_dominant
JPM,NAR,HAR,0.1061,0.8402,0.5912,model_2_encompasses_1
JPM,NAR,ARFIMA,-0.2200,1.1736,0.3160,model_2_encompasses_1
JPM,NAR,FNN,0.7753,0.2010,0.0000,model_1_encompasses_2
JPM,NAR,LSTM,0.5685,0.3899,0.0012,mixed
POOLED,RW,AR,-0.0168,1.0155,0.7523,model_2_encompasses_1
POOLED,RW,HAR,-0.0818,1.0889,0.1441,model_2_encompasses_1
POOLED,RW,ARFIMA,-0.0703,1.0697,0.1587,model_2_encompasses_1
POOLED,RW,FNN,0.4566,0.4611,0.0000,mixed
POOLED,RW,LSTM,0.1010,0.8697,0.0233,model_2_encompasses_1
POOLED,RW,NAR,0.1085,0.8501,0.0226,model_2_encompasses_1
POOLED,AR,RW,1.0155,-0.0168,0.0000,model_1_encompasses_2
POOLED,AR,HAR,0.0895,0.9027,0.5366,model_2_encompasses_1
POOLED,AR,ARFIMA,-0.0453,1.0305,0.7200,model_2_encompasses_1
POOLED,AR,FNN,0.8511,0.1638,0.0000,model_1_encompasses_2
POOLED,AR,LSTM,0.6439,0.3537,0.0000,mixed
POOLED,AR,NAR,0.6280,0.3647,0.0000,mixed
POOLED,HAR,RW,1.0889,-0.0818,0.0000,model_1_encompasses_2
POOLED,HAR,AR,0.9027,0.0895,0.0000,model_1_encompasses_2
POOLED,HAR,ARFIMA,-0.1872,1.1714,0.3988,model_2_encompasses_1
POOLED,HAR,FNN,0.8872,0.1187,0.0000,model_1_encompasses_2
POOLED,HAR,LSTM,0.7277,0.2698,0.0000,model_1_encompasses_2
POOLED,HAR,NAR,0.8447,0.1468,0.0000,model_1_encompasses_2
POOLED,ARFIMA,RW,1.0697,-0.0703,0.0000,model_1_encompasses_2
POOLED,ARFIMA,AR,1.0305,-0.0453,0.0000,model_1_encompasses_2
POOLED,ARFIMA,HAR,1.1714,-0.1872,0.0000,model_1_encompasses_2
POOLED,ARFIMA,FNN,0.9339,0.0605,0.0000,model_1_encompasses_2
POOLED,ARFIMA,LSTM,0.8984,0.0908,0.0000,model_1_encompasses_2
POOLED,ARFIMA,NAR,1.0510,-0.0655,0.0000,model_1_encompasses_2
POOLED,FNN,RW,0.4611,0.4566,0.0000,mixed
POOLED,FNN,AR,0.1638,0.8511,0.0017,model_2_encompasses_1
POOLED,FNN,HAR,0.1187,0.8872,0.0292,model_2_encompasses_1
POOLED,FNN,ARFIMA,0.0605,0.9339,0.2642,model_2_encompasses_1
POOLED,FNN,LSTM,0.1236,0.8808,0.0222,model_2_encompasses_1
POOLED,FNN,NAR,0.1529,0.8448,0.0113,model_2_encompasses_1
POOLED,LSTM,RW,0.8697,0.1010,0.0000,model_1_encompasses_2
POOLED,LSTM,AR,0.3537,0.6439,0.0030,mixed
POOLED,LSTM,HAR,0.2698,0.7277,0.0024,model_2_encompasses_1
POOLED,LSTM,ARFIMA,0.0908,0.8984,0.3797,model_2_encompasses_1
POOLED,LSTM,FNN,0.8808,0.1236,0.0000,model_1_encompasses_2
POOLED,LSTM,NAR,0.4844,0.5071,0.0000,mixed
POOLED,NAR,RW,0.8501,0.1085,0.0000,model_1_encompasses_2
POOLED,NAR,AR,0.3647,0.6280,0.0081,mixed
POOLED,NAR,HAR,0.1468,0.8447,0.1990,model_2_encompasses_1
POOLED,NAR,ARFIMA,-0.0655,1.0510,0.5618,model_2_encompasses_1
POOLED,NAR,FNN,0.8448,0.1529,0.0000,model_1_encompasses_2
POOLED,NAR,LSTM,0.5071,0.4844,0.0000,mixed
