date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-07-25,0.001955,0.001586,0.000247,0.002398,0.000582,0.000691,0.000123,0.003798,0.003259,0.000488,0.004644,0.001145,0.001358,0.000244
2022-07-26,0.000145,0.001579,0.000435,0.000184,0.000480,0.000632,0.000431,0.000292,0.003244,0.000882,0.000364,0.000975,0.001286,0.000850
2022-07-27,0.075667,0.113981,0.080254,0.068725,0.085031,0.089918,0.083386,0.183366,0.289247,0.195653,0.164981,0.208564,0.221894,0.204104
2022-07-28,0.078101,0.008100,0.016673,0.022423,0.017361,0.015639,0.022020,0.130751,0.015270,0.030652,0.040686,0.031863,0.028826,0.039989
2022-07-29,0.113573,0.122602,0.111821,0.085172,0.096882,0.082858,0.091977,0.288081,0.314047,0.283088,0.208946,0.241097,0.202675,0.227546
2022-08-01,0.000379,0.049049,0.032271,0.027384,0.029839,0.029206,0.033344,0.000767,0.114339,0.073018,0.061345,0.067187,0.065677,0.075605
2022-08-02,0.067862,0.014569,0.013060,0.019194,0.013798,0.024485,0.013994,0.114930,0.026928,0.024239,0.035076,0.025557,0.044238,0.025905
2022-08-03,0.158829,0.141492,0.158292,0.183601,0.172133,0.207745,0.170906,0.247716,0.223586,0.246975,0.281419,0.265924,0.313470,0.264256
2022-08-04,0.284984,0.132855,0.129586,0.103532,0.154996,0.134191,0.105262,0.840940,0.343992,0.334391,0.259655,0.410263,0.347928,0.264518
2022-08-05,0.153846,0.049055,0.084408,0.074908,0.049153,0.035329,0.066841,0.240828,0.085095,0.140365,0.125847,0.085254,0.062578,0.113336
2022-08-08,0.020264,0.008912,0.004479,0.000561,0.009052,0.004200,0.004510,0.044664,0.019000,0.009371,0.001139,0.019309,0.008774,0.009437
2022-08-09,0.093115,0.042380,0.077642,0.100706,0.084322,0.072295,0.061318,0.153485,0.074232,0.130047,0.164787,0.140236,0.121813,0.104669
2022-08-10,0.001046,0.020584,0.020275,0.040618,0.010583,0.017513,0.030228,0.002048,0.037498,0.036960,0.071337,0.019786,0.032131,0.054017
2022-08-11,0.055170,0.039417,0.012759,0.007863,0.040693,0.035469,0.038120,0.129854,0.090393,0.027552,0.016697,0.093529,0.080751,0.087214
2022-08-12,0.022776,0.004242,0.014179,0.023248,0.003570,0.002341,0.017080,0.041295,0.008128,0.026234,0.042109,0.006863,0.004536,0.031368
2022-08-15,0.049527,0.043559,0.068302,0.099091,0.052242,0.063058,0.055940,0.085857,0.076163,0.115615,0.162394,0.090227,0.107408,0.096143
2022-08-16,0.124989,0.074626,0.052345,0.026568,0.076957,0.057188,0.068103,0.320977,0.180591,0.122666,0.059413,0.186810,0.135017,0.163348
2022-08-17,0.000326,0.016069,0.005608,0.001964,0.016314,0.020719,0.005643,0.000660,0.035035,0.011798,0.004048,0.035592,0.045719,0.011872
2022-08-18,0.058909,0.022641,0.036314,0.053439,0.031362,0.032812,0.040944,0.100859,0.041062,0.064217,0.092147,0.055931,0.058367,0.071875
2022-08-19,0.055989,0.068245,0.089733,0.129406,0.090637,0.108713,0.079036,0.096220,0.115526,0.148410,0.206476,0.149769,0.176577,0.132183
