date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-07-14,0.279367,0.051724,0.048243,0.064122,0.056443,0.078822,0.079470,0.404565,0.089396,0.083782,0.109080,0.096943,0.131855,0.132846
2022-07-15,0.038779,0.047159,0.044219,0.074557,0.091757,0.091471,0.062318,0.068304,0.082026,0.077241,0.125306,0.151450,0.151021,0.106244
2022-07-18,0.031386,0.005450,0.004000,0.000662,0.001384,0.007932,0.020493,0.070891,0.011457,0.008349,0.001348,0.002837,0.016849,0.045195
2022-07-19,0.051760,0.054115,0.064549,0.059580,0.036116,0.024112,0.059228,0.089455,0.093229,0.109749,0.101923,0.063889,0.043597,0.101366
2022-07-20,0.043796,0.022108,0.008249,0.004236,0.021892,0.023436,0.028256,0.101207,0.048944,0.017545,0.008852,0.048443,0.052046,0.063416
2022-07-21,0.007710,0.000062,0.002823,0.007705,0.001790,0.000095,0.000045,0.014556,0.000124,0.005451,0.014546,0.003481,0.000189,0.000090
2022-07-22,0.000416,0.000732,0.000298,0.001429,0.000188,0.000764,0.001131,0.000844,0.001491,0.000603,0.002788,0.000380,0.001557,0.002211
2022-07-25,0.049191,0.029103,0.048453,0.067976,0.052696,0.040816,0.035054,0.085316,0.052115,0.084123,0.115107,0.090956,0.071663,0.062119
2022-07-26,0.036060,0.075068,0.082712,0.107864,0.065357,0.080159,0.082397,0.063795,0.126092,0.137790,0.175333,0.111015,0.133898,0.137311
2022-07-27,0.377476,0.235585,0.187531,0.167107,0.280143,0.234247,0.227543,1.188283,0.669161,0.511515,0.447424,0.823676,0.664644,0.642121
2022-07-28,0.082036,0.006000,0.018967,0.019378,0.006513,0.002158,0.012915,0.136761,0.011404,0.034678,0.035397,0.012352,0.004186,0.023978
2022-07-29,0.131319,0.138741,0.127728,0.095503,0.122438,0.100375,0.106802,0.339476,0.361395,0.328959,0.237274,0.313574,0.250818,0.268858
2022-08-01,0.107196,0.010433,0.022943,0.033760,0.049500,0.033189,0.016130,0.174354,0.019515,0.041583,0.059956,0.085814,0.059000,0.029693
2022-08-02,0.001505,0.000483,0.000580,0.000620,0.000449,0.001658,0.002994,0.003088,0.000952,0.001179,0.001219,0.000886,0.003227,0.005776
2022-08-03,0.040499,0.028990,0.046940,0.050213,0.051218,0.042490,0.028888,0.071142,0.051923,0.081671,0.086964,0.088582,0.074412,0.051750
2022-08-04,0.028922,0.004295,0.005353,0.002327,0.013000,0.007549,0.005682,0.064999,0.008978,0.011248,0.004807,0.028094,0.016012,0.011958
2022-08-05,0.047571,0.027187,0.048940,0.050997,0.032035,0.028944,0.037753,0.082694,0.048859,0.084909,0.088228,0.057062,0.051844,0.066607
2022-08-08,0.084789,0.046860,0.042376,0.027281,0.062274,0.042940,0.041818,0.207908,0.108846,0.097686,0.061100,0.148134,0.099083,0.096306
2022-08-09,0.117395,0.049446,0.075212,0.086731,0.069504,0.059570,0.071945,0.189218,0.085727,0.126314,0.143884,0.117486,0.101907,0.121272
2022-08-10,0.000410,0.007141,0.006508,0.016702,0.002407,0.010749,0.009105,0.000832,0.013510,0.012343,0.030703,0.004660,0.020085,0.017105
2022-08-11,0.008207,0.013352,0.030169,0.038570,0.013266,0.019727,0.015672,0.015466,0.024761,0.053917,0.067959,0.024607,0.036005,0.028884
2022-08-12,0.014632,0.045914,0.051611,0.067068,0.018018,0.036341,0.039226,0.027040,0.080003,0.089214,0.113691,0.033016,0.064262,0.069043
2022-08-15,0.004319,0.000671,0.007084,0.012864,0.000394,0.002015,0.001482,0.009028,0.001320,0.013405,0.023887,0.000798,0.003913,0.002889
2022-08-16,0.002135,0.000069,0.001117,0.005168,0.004110,0.000098,0.000604,0.004405,0.000140,0.002185,0.009859,0.008584,0.000197,0.001229
2022-08-17,0.089359,0.084998,0.063556,0.045196,0.114070,0.079595,0.076216,0.220364,0.208474,0.151464,0.104689,0.289502,0.193879,0.184831
2022-08-18,0.031553,0.001210,0.005018,0.012077,0.002972,0.004061,0.002405,0.056252,0.002366,0.009578,0.022477,0.005735,0.007787,0.004657
2022-08-19,0.041416,0.042871,0.040664,0.067831,0.044545,0.068694,0.044794,0.072651,0.075037,0.071413,0.114880,0.077773,0.116225,0.078179
2022-08-22,0.000383,0.013247,0.016434,0.030103,0.011087,0.026002,0.008181,0.000756,0.024573,0.030231,0.053806,0.020695,0.046836,0.015418
2022-08-23,0.138970,0.072884,0.067636,0.056094,0.120461,0.083318,0.098686,0.362077,0.175964,0.162123,0.132214,0.307857,0.203921,0.246109
2022-08-24,0.115387,0.049959,0.069168,0.072171,0.039873,0.043381,0.048314,0.186307,0.086555,0.116962,0.121621,0.070111,0.075871,0.083897
2022-08-25,0.000124,0.004888,0.005616,0.016384,0.002463,0.015229,0.001143,0.000251,0.009337,0.010692,0.030142,0.004767,0.028100,0.002235
2022-08-26,0.654531,0.597728,0.548752,0.492985,0.606486,0.540197,0.593248,2.425245,2.147615,1.918230,1.668246,2.189604,1.879108,2.126247
2022-08-29,0.061336,0.005678,0.006027,0.004791,0.008716,0.022020,0.000409,0.104697,0.011948,0.012703,0.010040,0.018569,0.048740,0.000828
2022-08-30,0.000526,0.018679,0.029117,0.014302,0.002163,0.002771,0.012479,0.001067,0.041008,0.065464,0.031027,0.004463,0.005742,0.026925
2022-08-31,0.014280,0.000008,0.000637,0.000670,0.018359,0.008769,0.002670,0.026414,0.000015,0.001296,0.001318,0.033615,0.016493,0.005529
2022-09-01,0.023061,0.012943,0.039835,0.028702,0.012580,0.018353,0.010941,0.051169,0.027966,0.091420,0.064476,0.027152,0.040260,0.023492
2022-09-02,0.001221,0.002886,0.003112,0.004136,0.000095,0.003456,0.002013,0.002387,0.005985,0.006463,0.008637,0.000191,0.007191,0.004148
2022-09-06,0.001763,0.008362,0.015678,0.010806,0.002926,0.007469,0.008647,0.003626,0.017792,0.034147,0.023191,0.006068,0.015836,0.018418
2022-09-07,0.057764,0.024373,0.019475,0.026766,0.048940,0.032529,0.042679,0.099044,0.044046,0.035565,0.048141,0.084910,0.057894,0.074722
2022-09-08,0.061111,0.035441,0.051454,0.036381,0.027792,0.030932,0.028918,0.145123,0.080683,0.120408,0.082969,0.062312,0.069803,0.064991
2022-09-09,0.253311,0.159322,0.159157,0.168647,0.192924,0.146604,0.190744,0.372059,0.248396,0.248168,0.261179,0.293883,0.230750,0.290978
2022-09-12,0.035558,0.000172,0.002180,0.000012,0.001761,0.000005,0.000525,0.080968,0.000346,0.004499,0.000025,0.003622,0.000010,0.001066
2022-09-13,0.001032,0.000139,0.002882,0.004667,0.000641,0.000005,0.000398,0.002020,0.000276,0.005563,0.008923,0.001262,0.000010,0.000786
2022-09-14,0.091328,0.071739,0.080136,0.063098,0.106436,0.098032,0.065540,0.225762,0.172933,0.195334,0.150274,0.267826,0.244291,0.156634
2022-09-15,0.005632,0.010518,0.003086,0.001249,0.001384,0.007041,0.003184,0.010722,0.022551,0.006407,0.002558,0.002838,0.014903,0.006615
2022-09-16,0.010639,0.028766,0.038558,0.020254,0.013752,0.019379,0.021411,0.022820,0.064627,0.088286,0.044641,0.029788,0.042621,0.047323
2022-09-19,0.033351,0.004200,0.004582,0.009387,0.022303,0.010774,0.012047,0.059271,0.008049,0.008763,0.017618,0.040478,0.020131,0.022424
2022-09-20,0.007999,0.004026,0.009043,0.004189,0.001402,0.002764,0.004168,0.016997,0.008403,0.019290,0.008752,0.002874,0.005727,0.008706
2022-09-21,0.601745,0.686656,0.661442,0.655705,0.615277,0.683532,0.662886,2.166834,2.587804,2.459877,2.431113,2.232053,2.571821,2.467135
2022-09-22,0.372642,0.039605,0.039473,0.034947,0.019292,0.021647,0.050130,0.515856,0.069668,0.069451,0.061939,0.035246,0.039343,0.086831
2022-09-23,0.019718,0.018278,0.006924,0.016466,0.034775,0.057284,0.027588,0.035989,0.033473,0.013110,0.030287,0.061653,0.098281,0.049541
2022-09-26,0.060551,0.053634,0.052130,0.044889,0.022002,0.028450,0.080524,0.143674,0.125939,0.122122,0.103925,0.048698,0.063877,0.196378
2022-09-27,0.000089,0.003500,0.009874,0.014859,0.012299,0.019011,0.002553,0.000178,0.007284,0.021124,0.032287,0.026522,0.041771,0.005282
2022-09-28,0.001043,0.005475,0.001527,0.004144,0.001785,0.003282,0.002327,0.002042,0.011512,0.003135,0.008655,0.003673,0.006821,0.004808
2022-09-29,0.000701,0.004835,0.003782,0.001787,0.000059,0.000654,0.001176,0.001377,0.010134,0.007883,0.003677,0.000118,0.001331,0.002408
2022-09-30,0.014359,0.030066,0.035406,0.029514,0.020795,0.028149,0.015725,0.031156,0.067730,0.080599,0.066410,0.045893,0.063162,0.034254
2022-10-03,0.219291,0.123720,0.126698,0.126204,0.137169,0.132174,0.147593,0.328540,0.198339,0.202607,0.201900,0.217495,0.210416,0.232131
2022-10-04,0.004869,0.003055,0.002687,0.005224,0.004797,0.001031,0.007997,0.010207,0.005891,0.005194,0.009963,0.009166,0.002018,0.015081
2022-10-05,0.046349,0.039618,0.024209,0.025045,0.033931,0.052369,0.031039,0.107568,0.090885,0.053857,0.055821,0.077023,0.122727,0.070061
2022-10-06,0.019295,0.002987,0.005437,0.005137,0.001724,0.000114,0.010487,0.035252,0.005763,0.010359,0.009801,0.003355,0.000226,0.019613
2022-10-07,0.030737,0.017493,0.030187,0.038635,0.037797,0.025246,0.033015,0.054878,0.032094,0.053948,0.068066,0.066679,0.045542,0.058708
2022-10-10,0.154308,0.124423,0.108492,0.085425,0.098549,0.121687,0.100584,0.408171,0.319332,0.273637,0.209635,0.245728,0.311398,0.251402
2022-10-11,0.039028,0.001652,0.004485,0.005054,0.003241,0.000766,0.009403,0.068715,0.003217,0.008583,0.009646,0.006243,0.001505,0.017647
2022-10-12,0.008286,0.004435,0.006371,0.010104,0.011481,0.005472,0.013031,0.015610,0.008490,0.012090,0.018919,0.021405,0.010424,0.024187
2022-10-13,0.376080,0.397342,0.343872,0.320569,0.312546,0.361663,0.373394,1.182795,1.267195,1.058254,0.970645,0.940969,1.126552,1.172256
2022-10-14,0.063122,0.001176,0.000519,0.000844,0.003277,0.001153,0.000071,0.107509,0.002406,0.001053,0.001721,0.006811,0.002359,0.000144
2022-10-17,0.152886,0.087971,0.083766,0.094939,0.113055,0.119614,0.104710,0.239497,0.145755,0.139391,0.156212,0.182918,0.192427,0.170700
2022-10-18,0.445941,0.353716,0.327791,0.300990,0.274537,0.321182,0.360012,1.466609,1.095892,0.997570,0.898670,0.803804,0.972922,1.120163
2022-10-19,0.349236,0.120816,0.124392,0.106234,0.082306,0.098751,0.117168,0.488612,0.194161,0.199304,0.172940,0.137172,0.161888,0.188890
2022-10-20,0.015841,0.000723,0.000883,0.000674,0.000554,0.002284,0.000011,0.034516,0.001472,0.001801,0.001371,0.001127,0.004716,0.000023
2022-10-21,0.000378,0.003684,0.000280,0.000140,0.000698,0.000459,0.007597,0.000746,0.007674,0.000554,0.000278,0.001371,0.000931,0.016117
2022-10-24,0.013761,0.010862,0.016234,0.013827,0.018194,0.029047,0.004699,0.029807,0.023315,0.035410,0.029956,0.039893,0.065298,0.009842
2022-10-25,0.155994,0.073780,0.115064,0.109027,0.109666,0.090785,0.091256,0.243802,0.124107,0.185839,0.177037,0.177973,0.149991,0.150699
2022-10-26,0.126791,0.063203,0.058524,0.043035,0.054594,0.071818,0.048687,0.326223,0.150547,0.138448,0.099317,0.128385,0.173141,0.113429
2022-10-27,0.010827,0.054591,0.031760,0.032588,0.042046,0.068526,0.045002,0.023237,0.128376,0.071791,0.073782,0.096869,0.164459,0.104205
2022-10-28,0.012141,0.056268,0.053763,0.046920,0.053374,0.065189,0.044958,0.026169,0.132659,0.126268,0.108997,0.125278,0.155720,0.104095
2022-10-31,0.102611,0.014837,0.024665,0.032397,0.033721,0.032636,0.019635,0.167605,0.027404,0.044546,0.057671,0.059892,0.058072,0.035845
2022-11-01,0.002063,0.006116,0.002677,0.008789,0.015565,0.011605,0.017940,0.004004,0.011618,0.005174,0.016528,0.028694,0.021629,0.032881
2022-11-02,0.436674,0.408090,0.381363,0.378438,0.370992,0.432606,0.361381,1.427887,1.310516,1.203603,1.192067,1.162853,1.410994,1.125462
2022-11-03,0.072224,0.002027,0.000390,0.001523,0.018370,0.012838,0.011511,0.121704,0.004177,0.000790,0.003127,0.040297,0.027731,0.024760
2022-11-04,0.165531,0.274885,0.282894,0.253634,0.269195,0.214627,0.287560,0.442553,0.805035,0.833477,0.730797,0.784981,0.599242,0.850162
2022-11-07,0.461597,0.120578,0.129914,0.142709,0.063504,0.157761,0.044362,0.615782,0.193818,0.207200,0.225296,0.108109,0.246243,0.077474
2022-11-08,0.005020,0.005799,0.000013,0.000919,0.000809,0.007009,0.004393,0.010531,0.011031,0.000026,0.001801,0.001587,0.013267,0.008410
2022-11-09,0.040184,0.033949,0.059055,0.044580,0.039584,0.027168,0.028044,0.070623,0.060273,0.101091,0.077830,0.069634,0.048826,0.050318
2022-11-10,0.075658,0.026385,0.027633,0.030878,0.045287,0.060056,0.017954,0.183341,0.058980,0.061935,0.069672,0.104916,0.142396,0.039343
2022-11-11,0.030599,0.000811,0.015210,0.010285,0.003172,0.000225,0.000260,0.054644,0.001592,0.028066,0.019247,0.006112,0.000445,0.000514
2022-11-14,0.041750,0.035621,0.042103,0.056323,0.048127,0.037679,0.059741,0.073199,0.063064,0.073779,0.096752,0.083594,0.066484,0.102177
2022-11-15,0.178882,0.144067,0.107322,0.090628,0.102917,0.128325,0.112758,0.484158,0.377278,0.270328,0.223841,0.257930,0.330703,0.285757
2022-11-16,0.143386,0.043152,0.059974,0.063404,0.039774,0.024761,0.050426,0.226245,0.075497,0.102545,0.107953,0.069948,0.044712,0.087307
2022-11-17,0.000228,0.001278,0.003585,0.007477,0.005569,0.003467,0.008344,0.000461,0.002496,0.006893,0.014127,0.010603,0.006670,0.015716
2022-11-18,0.007527,0.012415,0.002077,0.000621,0.001798,0.008725,0.005140,0.015964,0.026782,0.004283,0.001263,0.003699,0.018589,0.010790
2022-11-21,0.128643,0.109627,0.120711,0.131739,0.103920,0.079892,0.136117,0.205388,0.177915,0.194009,0.209798,0.169536,0.133491,0.216006
2022-11-22,0.007785,0.040134,0.068221,0.077238,0.048816,0.048587,0.066106,0.014693,0.070540,0.115488,0.129429,0.084709,0.084339,0.112188
2022-11-23,0.035158,0.007250,0.000275,0.000004,0.012255,0.010281,0.003015,0.079995,0.015360,0.000556,0.000008,0.026424,0.022024,0.006257
2022-11-25,0.233749,0.221475,0.287637,0.294584,0.170183,0.175190,0.240904,0.347192,0.331373,0.414742,0.423241,0.263272,0.270072,0.356336
2022-11-28,0.116348,0.019308,0.004152,0.001059,0.029446,0.010273,0.007255,0.296021,0.042456,0.008673,0.002165,0.066249,0.022008,0.015369
2022-11-29,0.284042,0.338113,0.228044,0.212454,0.380952,0.344291,0.343994,0.837574,1.036407,0.643798,0.592093,1.201979,1.059847,1.058718
2022-11-30,0.026494,0.175507,0.138581,0.125160,0.215234,0.196659,0.146257,0.059237,0.473568,0.360922,0.321472,0.601240,0.540730,0.383845
2022-12-01,0.168424,0.013798,0.025360,0.040797,0.046228,0.058173,0.024546,0.260874,0.025556,0.045739,0.071633,0.080515,0.099693,0.044343
2022-12-02,0.015370,0.019374,0.012165,0.030904,0.067899,0.066457,0.026182,0.028349,0.035390,0.022635,0.055159,0.114987,0.112736,0.047145
2022-12-05,0.097952,0.050164,0.051276,0.048961,0.037886,0.050899,0.045918,0.244068,0.117149,0.119957,0.114118,0.086641,0.119006,0.106490
2022-12-06,0.052420,0.019815,0.027931,0.018961,0.011484,0.008368,0.021559,0.090514,0.036159,0.050125,0.034668,0.021411,0.015760,0.039190
2022-12-07,0.042470,0.036382,0.026173,0.023381,0.022426,0.023407,0.019327,0.097918,0.082971,0.058480,0.051917,0.049687,0.051978,0.042499
2022-12-08,0.009754,0.000694,0.000041,0.000957,0.001560,0.000251,0.000197,0.018284,0.001413,0.000082,0.001875,0.003039,0.000498,0.000389
2022-12-09,0.000688,0.000230,0.000053,0.000767,0.001528,0.000843,0.004294,0.001352,0.000455,0.000106,0.001507,0.002977,0.001654,0.008224
2022-12-12,0.004336,0.000974,0.003172,0.005977,0.008860,0.005244,0.004946,0.008304,0.001909,0.006112,0.011362,0.016658,0.010000,0.009444
2022-12-13,0.276314,0.259546,0.262965,0.234826,0.238452,0.254379,0.222569,0.810091,0.751271,0.763172,0.666596,0.678862,0.733369,0.625526
2022-12-14,0.075857,0.298125,0.270904,0.262616,0.306509,0.286367,0.270218,0.183873,0.888260,0.790989,0.761956,0.918808,0.845889,0.788577
2022-12-15,0.512151,0.152785,0.130996,0.158939,0.101278,0.210842,0.115115,0.670293,0.239357,0.208741,0.247867,0.165634,0.317527,0.185913
2022-12-16,0.077599,0.032733,0.054088,0.027672,0.009386,0.001840,0.017551,0.188527,0.074132,0.127096,0.062027,0.020045,0.003788,0.038420
2022-12-19,0.072210,0.037622,0.031693,0.034308,0.038230,0.036080,0.027247,0.121681,0.066389,0.056488,0.060874,0.067396,0.063828,0.048961
2022-12-20,0.034288,0.006726,0.014155,0.013954,0.014302,0.015228,0.004267,0.077886,0.014219,0.030695,0.030243,0.031028,0.033124,0.008917
2022-12-21,0.004225,0.002686,0.000176,0.000110,0.000004,0.000183,0.001173,0.008095,0.005562,0.000349,0.000219,0.000008,0.000370,0.002401
2022-12-22,0.002695,0.000478,0.000001,0.001689,0.001310,0.001062,0.005202,0.005208,0.000942,0.000002,0.003288,0.002558,0.002080,0.009922
2022-12-23,0.006677,0.015248,0.009563,0.004864,0.003794,0.005906,0.007583,0.014112,0.033170,0.020437,0.010196,0.007910,0.012440,0.016086
2022-12-27,0.112476,0.070739,0.072840,0.088632,0.084593,0.078012,0.094414,0.182074,0.119403,0.122655,0.146753,0.140646,0.130615,0.155428
2022-12-28,0.101152,0.048029,0.043341,0.031831,0.033831,0.038047,0.028391,0.252988,0.111776,0.100078,0.071961,0.076782,0.087035,0.063737
2022-12-29,0.090568,0.033314,0.055559,0.057224,0.042516,0.032790,0.044705,0.149665,0.059209,0.095535,0.098186,0.074455,0.058330,0.078034
